id,n,edges,solvable_mask,class,ps,fs,per_hole_min,per_hole_max,states
0,12,0-1 1-2 2-0 2-3 2-4 2-5 2-6 2-7 2-8 2-9 2-10 2-11,0,U,8,10,8 8 9 8 8 8 8 8 8 8 8 8,10 10 9 10 10 10 10 10 10 10 10 10,132
1,12,0-1 1-2 2-0 2-3 2-4 2-5 2-6 2-7 2-8 2-9 2-10 10-11,0,U,4,9,4 4 5 4 4 4 4 4 4 4 4 6,8 8 9 8 8 8 8 8 8 8 8 8,876
2,12,0-1 1-2 2-0 2-3 2-4 2-5 2-6 2-7 2-8 2-9 9-10 9-11,0,U,2,9,2 2 3 2 2 2 2 2 2 2 3 3,8 8 9 8 8 8 8 8 8 8 8 8,1733
3,12,0-1 1-2 2-0 2-3 2-4 2-5 2-6 2-7 2-8 2-9 9-10 10-11,0,U,4,9,4 4 5 4 4 4 4 4 4 4 6 6,8 8 9 8 8 8 8 8 8 8 7 9,689
4,12,0-1 1-2 2-0 2-3 2-4 2-5 2-6 2-7 2-8 8-9 2-10 10-11,1535,S,1,8,1 1 1 1 1 1 1 1 1 2 1 2,8 8 7 8 8 8 8 8 8 8 8 8,1928
5,12,0-1 1-2 2-0 2-3 2-4 2-5 2-6 2-7 2-8 8-9 8-10 8-11,4095,F,1,9,1 1 1 1 1 1 1 1 1 1 1 1,8 8 9 8 8 8 8 8 8 8 8 8,2384
6,12,0-1 1-2 2-0 2-3 2-4 2-5 2-6 2-7 2-8 8-9 8-10 10-11,0,U,2,8,2 2 3 2 2 2 2 2 2 3 3 3,8 8 8 8 8 8 8 8 8 7 8 7,1633
7,12,0-1 1-2 2-0 2-3 2-4 2-5 2-6 2-7 2-8 8-9 9-10 9-11,0,U,4,9,4 4 5 4 4 4 4 4 4 6 5 5,8 8 9 8 8 8 8 8 8 7 9 9,583
8,12,0-1 1-2 2-0 2-3 2-4 2-5 2-6 2-7 2-8 8-9 9-10 10-11,507,S,1,8,1 1 2 1 1 1 1 1 1 3 2 5,7 7 8 7 7 7 7 7 7 8 7 7,1281
9,12,0-1 1-2 2-0 2-3 2-4 2-5 2-6 2-7 7-8 2-9 9-10 9-11,4095,F,1,8,1 1 1 1 1 1 1 1 1 1 1 1,8 8 7 8 8 8 8 8 8 8 8 8,2598
10,12,0-1 1-2 2-0 2-3 2-4 2-5 2-6 2-7 7-8 2-9 9-10 10-11,763,S,1,8,1 1 2 1 1 1 1 1 2 1 2 2,8 8 7 8 8 8 8 8 8 8 7 7,1566
11,12,0-1 1-2 2-0 2-3 2-4 2-5 2-6 2-7 7-8 7-9 7-10 7-11,4095,F,1,9,1 1 1 1 1 1 1 1 1 1 1 1,8 8 9 8 8 8 8 8 8 8 8 8,2602
