id,n,edges,solvable_mask,class,ps,fs,per_hole_min,per_hole_max,states
0,11,0-1 1-2 2-0 2-3 2-4 2-5 2-6 2-7 2-8 2-9 2-10,0,U,7,9,7 7 8 7 7 7 7 7 7 7 7,9 9 8 9 9 9 9 9 9 9 9,110
1,11,0-1 1-2 2-0 2-3 2-4 2-5 2-6 2-7 2-8 2-9 9-10,0,U,3,8,3 3 4 3 3 3 3 3 3 3 5,7 7 8 7 7 7 7 7 7 7 7,584
2,11,0-1 1-2 2-0 2-3 2-4 2-5 2-6 2-7 2-8 8-9 8-10,507,S,1,8,1 1 2 1 1 1 1 1 1 2 2,7 7 8 7 7 7 7 7 7 7 7,1032
3,11,0-1 1-2 2-0 2-3 2-4 2-5 2-6 2-7 2-8 8-9 9-10,0,U,3,8,3 3 4 3 3 3 3 3 3 5 5,7 7 8 7 7 7 7 7 7 6 8,459
4,11,0-1 1-2 2-0 2-3 2-4 2-5 2-6 2-7 7-8 2-9 9-10,2047,F,1,7,1 1 1 1 1 1 1 1 1 1 1,7 7 6 7 7 7 7 7 7 7 7,1116
5,11,0-1 1-2 2-0 2-3 2-4 2-5 2-6 2-7 7-8 7-9 7-10,2047,F,1,8,1 1 1 1 1 1 1 1 1 1 1,7 7 8 7 7 7 7 7 7 7 7,1290
6,11,0-1 1-2 2-0 2-3 2-4 2-5 2-6 2-7 7-8 7-9 9-10,251,S,1,7,1 1 2 1 1 1 1 1 2 2 2,7 7 7 7 7 7 7 7 6 7 6,967
7,11,0-1 1-2 2-0 2-3 2-4 2-5 2-6 2-7 7-8 8-9 8-10,0,U,3,8,3 3 4 3 3 3 3 3 5 4 4,7 7 8 7 7 7 7 7 6 8 8,395
8,11,0-1 1-2 2-0 2-3 2-4 2-5 2-6 2-7 7-8 8-9 9-10,767,S,1,7,1 1 1 1 1 1 1 1 2 1 4,6 6 7 6 6 6 6 6 7 6 6,758
9,11,0-1 1-2 2-0 2-3 2-4 2-5 2-6 6-7 2-8 8-9 8-10,2047,F,1,7,1 1 1 1 1 1 1 1 1 1 1,7 7 6 7 7 7 7 7 7 7 7,1379
10,11,0-1 1-2 2-0 2-3 2-4 2-5 2-6 6-7 2-8 8-9 9-10,1284,S,1,7,2 2 1 2 2 2 2 2 1 2 1,7 7 6 7 7 7 7 7 7 6 6,908
11,11,0-1 1-2 2-0 2-3 2-4 2-5 2-6 6-7 6-8 6-9 6-10,2047,F,1,8,1 1 1 1 1 1 1 1 1 1 1,7 7 8 7 7 7 7 7 7 7 7,1279
12,11,0-1 1-2 2-0 2-3 2-4 2-5 2-6 6-7 6-8 6-9 9-10,2047,F,1,7,1 1 1 1 1 1 1 1 1 1 1,7 7 7 7 7 7 7 7 7 7 6,1282
13,11,0-1 1-2 2-0 2-3 2-4 2-5 2-6 6-7 6-8 8-9 8-10,1659,S,1,7,1 1 2 1 1 1 1 2 2 1 1,7 7 7 7 7 7 7 6 7 6 6,895
14,11,0-1 1-2 2-0 2-3 2-4 2-5 2-6 6-7 6-8 8-9 9-10,2047,F,1,6,1 1 1 1 1 1 1 1 1 1 1,6 6 6 6 6 6 6 6 6 6 6,1057
15,11,0-1 1-2 2-0 2-3 2-4 2-5 2-6 6-7 7-8 6-9 9-10,123,S,1,6,1 1 2 1 1 1 1 2 3 2 3,6 6 6 6 6 6 6 6 6 6 6,900
16,11,0-1 1-2 2-0 2-3 2-4 2-5 2-6 6-7 7-8 7-9 7-10,0,U,4,8,4 4 4 4 4 4 4 5 4 4 4,7 7 8 7 7 7 7 6 8 8 8,342
