id,n,edges,solvable_mask,class,ps,fs,per_hole_min,per_hole_max,states
0,10,0-1 1-2 2-0 2-3 2-4 2-5 2-6 2-7 2-8 2-9,0,U,6,8,6 6 7 6 6 6 6 6 6 6,8 8 7 8 8 8 8 8 8 8,90
1,10,0-1 1-2 2-0 2-3 2-4 2-5 2-6 2-7 2-8 8-9,0,U,2,7,2 2 3 2 2 2 2 2 2 4,6 6 7 6 6 6 6 6 6 6,377
2,10,0-1 1-2 2-0 2-3 2-4 2-5 2-6 2-7 7-8 7-9,1023,F,1,7,1 1 1 1 1 1 1 1 1 1,6 6 7 6 6 6 6 6 6 6,590
3,10,0-1 1-2 2-0 2-3 2-4 2-5 2-6 2-7 7-8 8-9,0,U,2,7,2 2 3 2 2 2 2 2 4 4,6 6 7 6 6 6 6 6 5 7,297
4,10,0-1 1-2 2-0 2-3 2-4 2-5 2-6 6-7 2-8 8-9,1023,F,1,6,1 1 1 1 1 1 1 1 1 1,6 6 5 6 6 6 6 6 6 6,626
5,10,0-1 1-2 2-0 2-3 2-4 2-5 2-6 6-7 6-8 6-9,1023,F,1,7,1 1 1 1 1 1 1 1 1 1,6 6 7 6 6 6 6 6 6 6,668
6,10,0-1 1-2 2-0 2-3 2-4 2-5 2-6 6-7 6-8 8-9,511,S,1,6,1 1 1 1 1 1 1 1 1 2,6 6 6 6 6 6 6 5 6 5,551
7,10,0-1 1-2 2-0 2-3 2-4 2-5 2-6 6-7 7-8 7-9,0,U,3,7,3 3 3 3 3 3 3 4 3 3,6 6 7 6 6 6 6 5 7 7,260
8,10,0-1 1-2 2-0 2-3 2-4 2-5 2-6 6-7 7-8 8-9,511,S,1,6,1 1 1 1 1 1 1 1 1 3,5 5 6 5 5 5 5 6 5 5,430
9,10,0-1 1-2 2-0 2-3 2-4 2-5 5-6 2-7 7-8 7-9,1023,F,1,6,1 1 1 1 1 1 1 1 1 1,6 6 5 6 6 6 6 6 6 6,705
10,10,0-1 1-2 2-0 2-3 2-4 2-5 5-6 2-7 7-8 8-9,507,S,1,6,1 1 2 1 1 1 1 1 1 2,6 6 5 6 6 6 6 6 5 5,510
11,10,0-1 1-2 2-0 2-3 2-4 2-5 5-6 5-7 5-8 5-9,1023,F,1,7,1 1 1 1 1 1 1 1 1 1,6 6 7 6 6 6 6 6 6 6,595
12,10,0-1 1-2 2-0 2-3 2-4 2-5 5-6 5-7 5-8 8-9,1023,F,1,6,1 1 1 1 1 1 1 1 1 1,6 6 6 6 6 6 6 6 6 5,663
13,10,0-1 1-2 2-0 2-3 2-4 2-5 5-6 5-7 7-8 7-9,831,S,1,6,1 1 1 1 1 1 2 2 1 1,6 6 6 6 6 6 5 6 5 5,509
14,10,0-1 1-2 2-0 2-3 2-4 2-5 5-6 5-7 7-8 8-9,1023,F,1,5,1 1 1 1 1 1 1 1 1 1,5 5 5 5 5 5 5 5 5 5,544
15,10,0-1 1-2 2-0 2-3 2-4 2-5 5-6 6-7 5-8 8-9,63,S,1,5,1 1 1 1 1 1 2 2 2 2,5 5 5 5 5 5 5 5 5 5,512
16,10,0-1 1-2 2-0 2-3 2-4 2-5 5-6 6-7 6-8 6-9,0,U,3,7,3 3 4 3 3 3 4 3 3 3,6 6 7 6 6 6 5 7 7 7,228
17,10,0-1 1-2 2-0 2-3 2-4 2-5 5-6 6-7 6-8 8-9,1023,F,1,6,1 1 1 1 1 1 1 1 1 1,5 5 6 5 5 5 6 5 5 4,457
18,10,0-1 1-2 2-0 2-3 2-4 2-5 5-6 6-7 7-8 7-9,1023,F,1,6,1 1 1 1 1 1 1 1 1 1,5 5 6 5 5 5 5 4 5 5,438
19,10,0-1 1-2 2-0 2-3 2-4 2-5 5-6 6-7 7-8 8-9,0,U,2,6,2 2 2 2 2 2 2 2 2 2,5 5 5 5 5 5 6 5 3 6,304
20,10,0-1 1-2 2-0 2-3 2-4 4-5 2-6 6-7 2-8 8-9,1023,F,1,5,1 1 1 1 1 1 1 1 1 1,4 4 5 4 4 4 4 4 4 4,722
21,10,0-1 1-2 2-0 2-3 2-4 4-5 2-6 6-7 6-8 6-9,1023,F,1,6,1 1 1 1 1 1 1 1 1 1,6 6 5 6 6 6 6 6 6 6,624
22,10,0-1 1-2 2-0 2-3 2-4 4-5 2-6 6-7 6-8 8-9,1023,F,1,5,1 1 1 1 1 1 1 1 1 1,5 5 5 5 5 5 5 5 5 5,654
23,10,0-1 1-2 2-0 2-3 2-4 4-5 2-6 6-7 7-8 7-9,836,S,1,6,2 2 1 2 2 2 1 2 1 1,6 6 5 6 6 6 6 5 5 5,450
24,10,0-1 1-2 2-0 2-3 2-4 4-5 2-6 6-7 7-8 8-9,1023,F,1,5,1 1 1 1 1 1 1 1 1 1,5 5 4 5 5 5 5 5 4 5,522
25,10,0-1 1-2 2-0 2-3 2-4 4-5 4-6 2-7 7-8 7-9,1023,F,1,6,1 1 1 1 1 1 1 1 1 1,6 6 5 6 6 6 6 6 6 6,633
26,10,0-1 1-2 2-0 2-3 2-4 4-5 4-6 2-7 7-8 8-9,1023,F,1,6,1 1 1 1 1 1 1 1 1 1,6 6 5 6 6 6 6 6 5 5,586
27,10,0-1 1-2 2-0 2-3 2-4 4-5 4-6 4-7 4-8 4-9,0,U,2,7,3 3 2 3 3 2 2 2 2 2,6 6 7 6 6 6 6 6 6 6,411
28,10,0-1 1-2 2-0 2-3 2-4 4-5 4-6 4-7 4-8 8-9,1023,F,1,6,1 1 1 1 1 1 1 1 1 1,6 6 6 6 6 6 6 6 6 5,627
29,10,0-1 1-2 2-0 2-3 2-4 4-5 4-6 4-7 7-8 7-9,1023,F,1,6,1 1 1 1 1 1 1 1 1 1,6 6 6 6 6 6 6 6 5 5,620
30,10,0-1 1-2 2-0 2-3 2-4 4-5 4-6 4-7 7-8 8-9,484,S,1,5,2 2 1 2 2 1 1 1 1 2,5 5 5 5 5 5 5 5 5 5,517
31,10,0-1 1-2 2-0 2-3 2-4 4-5 4-6 6-7 4-8 8-9,1023,F,1,5,1 1 1 1 1 1 1 1 1 1,5 5 5 5 5 5 5 5 5 5,633
32,10,0-1 1-2 2-0 2-3 2-4 4-5 4-6 6-7 6-8 6-9,915,S,1,6,1 1 2 2 1 2 2 1 1 1,6 6 6 6 6 5 6 5 5 5,453
33,10,0-1 1-2 2-0 2-3 2-4 4-5 4-6 6-7 6-8 8-9,1023,F,1,5,1 1 1 1 1 1 1 1 1 1,5 5 5 5 5 5 5 5 5 5,575
34,10,0-1 1-2 2-0 2-3 2-4 4-5 4-6 6-7 7-8 7-9,859,S,1,5,1 1 2 1 1 2 1 2 1 1,5 5 5 5 5 5 5 5 5 5,448
35,10,0-1 1-2 2-0 2-3 2-4 4-5 4-6 6-7 7-8 8-9,511,S,1,5,1 1 1 1 1 1 1 1 1 2,5 5 5 5 5 5 5 5 4 4,439
36,10,0-1 1-2 2-0 2-3 2-4 4-5 5-6 2-7 7-8 8-9,0,U,2,5,2 2 2 2 2 2 2 2 2 2,5 5 5 5 5 5 5 5 5 5,399
37,10,0-1 1-2 2-0 2-3 2-4 4-5 5-6 4-7 7-8 7-9,787,S,1,5,1 1 2 2 1 2 2 2 1 1,5 5 5 5 5 5 5 5 5 5,465
38,10,0-1 1-2 2-0 2-3 2-4 4-5 5-6 4-7 7-8 8-9,1023,F,1,5,1 1 1 1 1 1 1 1 1 1,5 5 5 5 5 5 4 5 5 4,523
39,10,0-1 1-2 2-0 2-3 2-4 4-5 5-6 5-7 5-8 5-9,0,U,3,7,4 4 4 4 3 4 3 3 3 3,6 6 7 6 6 5 7 7 7 7,198
40,10,0-1 1-2 2-0 2-3 2-4 4-5 5-6 5-7 5-8 8-9,507,S,1,6,1 1 2 1 1 1 1 1 1 2,5 5 6 5 5 6 5 5 5 4,440
41,10,0-1 1-2 2-0 2-3 2-4 4-5 5-6 5-7 7-8 7-9,1023,F,1,6,1 1 1 1 1 1 1 1 1 1,5 5 6 5 5 5 4 5 5 5,492
42,10,0-1 1-2 2-0 2-3 2-4 4-5 5-6 5-7 7-8 8-9,212,S,1,6,2 2 1 2 1 2 1 1 2 2,4 4 5 4 5 6 5 5 3 6,336
43,10,0-1 1-2 2-0 2-3 2-4 4-5 5-6 6-7 5-8 8-9,1023,F,1,5,1 1 1 1 1 1 1 1 1 1,4 4 5 4 5 4 5 5 5 5,508
44,10,0-1 1-2 2-0 2-3 2-4 4-5 5-6 6-7 6-8 6-9,0,U,2,6,3 3 2 3 3 2 3 2 2 2,5 5 6 5 5 5 4 5 5 5,332
45,10,0-1 1-2 2-0 2-3 2-4 4-5 5-6 6-7 6-8 8-9,1023,F,1,5,1 1 1 1 1 1 1 1 1 1,5 5 4 5 5 5 4 4 5 4,431
46,10,0-1 1-2 2-0 2-3 2-4 4-5 5-6 6-7 7-8 7-9,0,U,2,6,2 2 3 2 2 2 2 2 2 2,5 5 5 5 5 6 5 3 6 6,259
47,10,0-1 1-2 2-0 2-3 2-4 4-5 5-6 6-7 7-8 8-9,996,S,1,5,2 2 1 2 2 1 1 1 1 1,4 4 5 4 4 4 4 5 4 4,276
48,10,0-1 1-2 2-0 2-3 3-4 2-5 5-6 2-7 7-8 7-9,1023,F,1,5,1 1 1 1 1 1 1 1 1 1,4 4 5 4 4 4 4 4 4 4,640
49,10,0-1 1-2 2-0 2-3 3-4 2-5 5-6 2-7 7-8 8-9,1023,F,1,5,1 1 1 1 1 1 1 1 1 1,4 4 5 4 4 4 4 4 4 5,604
50,10,0-1 1-2 2-0 2-3 3-4 2-5 5-6 5-7 5-8 5-9,0,U,2,6,3 3 2 3 3 3 2 2 2 2,6 6 5 6 6 6 6 6 6 6,425
51,10,0-1 1-2 2-0 2-3 3-4 2-5 5-6 5-7 5-8 8-9,1023,F,1,5,1 1 1 1 1 1 1 1 1 1,5 5 5 5 5 5 5 5 5 5,620
52,10,0-1 1-2 2-0 2-3 3-4 2-5 5-6 5-7 7-8 7-9,1023,F,1,5,1 1 1 1 1 1 1 1 1 1,5 5 5 5 5 5 5 5 5 5,581
53,10,0-1 1-2 2-0 2-3 3-4 2-5 5-6 5-7 7-8 8-9,1007,S,1,5,1 1 1 1 2 1 1 1 1 1,4 4 4 4 4 5 4 4 4 5,511
54,10,0-1 1-2 2-0 2-3 3-4 2-5 5-6 6-7 5-8 8-9,1023,F,1,5,1 1 1 1 1 1 1 1 1 1,4 4 5 4 4 4 5 5 5 5,595
55,10,0-1 1-2 2-0 2-3 3-4 2-5 5-6 6-7 6-8 6-9,1003,S,1,6,1 1 3 1 2 1 1 1 1 1,6 6 5 6 6 6 5 5 5 5,376
56,10,0-1 1-2 2-0 2-3 3-4 2-5 5-6 6-7 6-8 8-9,1023,F,1,5,1 1 1 1 1 1 1 1 1 1,5 5 4 5 5 5 5 4 4 4,533
57,10,0-1 1-2 2-0 2-3 3-4 2-5 5-6 6-7 7-8 7-9,1023,F,1,5,1 1 1 1 1 1 1 1 1 1,5 5 4 5 5 5 5 4 5 5,435
58,10,0-1 1-2 2-0 2-3 3-4 2-5 5-6 6-7 7-8 8-9,379,S,1,4,1 1 2 1 1 1 1 2 1 2,4 4 4 4 4 4 4 4 3 4,368
59,10,0-1 1-2 2-0 2-3 3-4 3-5 2-6 6-7 6-8 6-9,0,U,2,6,3 3 2 3 2 2 3 2 2 2,6 6 5 6 6 6 6 6 6 6,431
60,10,0-1 1-2 2-0 2-3 3-4 3-5 2-6 6-7 6-8 8-9,1023,F,1,5,1 1 1 1 1 1 1 1 1 1,5 5 5 5 5 5 5 5 5 5,584
61,10,0-1 1-2 2-0 2-3 3-4 3-5 2-6 6-7 7-8 7-9,1023,F,1,6,1 1 1 1 1 1 1 1 1 1,6 6 5 6 6 6 6 5 5 5,494
62,10,0-1 1-2 2-0 2-3 3-4 3-5 2-6 6-7 7-8 8-9,1012,S,1,5,2 2 1 2 1 1 1 1 1 1,5 5 4 5 5 5 5 5 4 5,461
63,10,0-1 1-2 2-0 2-3 3-4 3-5 3-6 3-7 3-8 3-9,0,U,4,7,5 5 4 5 4 4 4 4 4 4,7 7 7 6 7 7 7 7 7 7,196
64,10,0-1 1-2 2-0 2-3 3-4 3-5 3-6 3-7 3-8 8-9,500,S,1,6,2 2 1 2 1 1 1 1 1 2,6 6 6 6 6 6 6 6 6 5,455
65,10,0-1 1-2 2-0 2-3 3-4 3-5 3-6 3-7 7-8 7-9,1023,F,1,6,1 1 1 1 1 1 1 1 1 1,6 6 6 6 6 6 6 6 5 5,561
66,10,0-1 1-2 2-0 2-3 3-4 3-5 3-6 3-7 7-8 8-9,244,S,1,6,2 2 1 2 1 1 1 1 2 2,5 5 5 6 5 5 5 5 5 6,385
67,10,0-1 1-2 2-0 2-3 3-4 3-5 3-6 6-7 3-8 8-9,1023,F,1,5,1 1 1 1 1 1 1 1 1 1,5 5 5 5 5 5 5 5 5 5,592
68,10,0-1 1-2 2-0 2-3 3-4 3-5 3-6 6-7 6-8 6-9,119,S,1,6,1 1 1 2 1 1 1 2 2 2,6 6 6 6 6 6 6 5 5 5,506
69,10,0-1 1-2 2-0 2-3 3-4 3-5 3-6 6-7 6-8 8-9,1023,F,1,5,1 1 1 1 1 1 1 1 1 1,5 5 5 5 5 5 5 5 5 5,543
70,10,0-1 1-2 2-0 2-3 3-4 3-5 3-6 6-7 7-8 7-9,0,U,2,6,2 2 2 2 2 2 2 2 2 2,5 5 5 6 5 5 5 4 6 6,348
71,10,0-1 1-2 2-0 2-3 3-4 3-5 3-6 6-7 7-8 8-9,975,S,1,5,1 1 1 1 2 2 1 1 1 1,5 5 5 5 5 5 5 5 4 4,418
72,10,0-1 1-2 2-0 2-3 3-4 3-5 5-6 3-7 7-8 7-9,1023,F,1,5,1 1 1 1 1 1 1 1 1 1,5 5 5 5 5 5 5 5 5 5,539
73,10,0-1 1-2 2-0 2-3 3-4 3-5 5-6 3-7 7-8 8-9,1023,F,1,5,1 1 1 1 1 1 1 1 1 1,5 5 5 5 5 5 5 5 4 5,494
74,10,0-1 1-2 2-0 2-3 3-4 3-5 5-6 5-7 5-8 5-9,968,S,1,6,2 2 2 1 2 2 1 1 1 1,6 6 6 6 5 6 5 5 5 5,352
75,10,0-1 1-2 2-0 2-3 3-4 3-5 5-6 5-7 5-8 8-9,511,S,1,5,1 1 1 1 1 1 1 1 1 2,5 5 5 5 5 5 5 5 5 5,525
