id,n,edges,solvable_mask,class,ps,fs,per_hole_min,per_hole_max,states
0,10,1-0 1-2 0-6 2-3 3-4 4-5 6-7 7-8 8-9,275,S,1,5,1 1 2 3 1 5 2 3 1 5,4 4 5 4 3 5 5 4 3 5,117
1,10,1-0 1-2 0-6 2-3 3-4 3-5 6-7 7-8 8-9,0,U,2,5,3 2 2 3 2 2 3 2 3 5,4 5 4 3 5 5 5 5 4 5,118
2,10,1-0 1-2 0-6 2-3 3-4 3-5 6-7 7-8 7-9,884,S,1,6,2 2 1 2 1 1 1 2 1 1,6 6 5 3 6 6 5 3 6 6,182
3,10,1-0 1-2 0-6 2-3 2-5 3-4 6-7 7-8 8-9,965,S,1,5,1 2 1 2 2 2 1 1 1 1,4 4 5 4 3 4 4 5 4 4,209
4,10,1-0 1-2 0-6 2-3 2-5 3-4 6-7 7-8 7-9,0,U,2,6,2 2 3 2 4 2 2 2 2 2,6 5 5 5 4 4 5 3 6 6,203
5,10,1-0 1-2 0-6 2-3 2-5 3-4 6-7 6-9 7-8,1023,F,1,5,1 1 1 1 1 1 1 1 1 1,5 5 4 5 4 4 4 5 4 4,346
6,10,1-0 1-2 1-5 0-6 2-3 3-4 6-7 7-8 8-9,0,U,2,5,2 3 2 2 3 2 2 2 3 2,4 5 4 4 5 4 5 4 3 5,168
7,10,1-0 1-2 1-5 0-6 2-3 3-4 6-7 7-8 7-9,0,U,2,6,2 2 2 2 2 2 2 3 2 2,5 6 5 4 6 5 5 4 5 5,246
8,10,1-0 1-2 1-5 0-6 2-3 3-4 6-7 6-9 7-8,101,S,1,6,1 2 1 2 2 1 1 2 2 2,5 6 5 3 6 5 5 4 4 4,268
9,10,1-0 1-2 1-5 0-6 0-9 2-3 3-4 6-7 7-8,751,S,1,5,1 1 1 1 3 1 1 1 3 1,5 5 5 4 5 5 5 4 5 5,313
10,10,1-0 1-2 0-5 0-9 2-3 3-4 5-6 6-7 7-8,0,U,2,5,2 2 2 2 2 2 2 2 2 2,4 4 5 4 3 4 5 4 3 4,226
11,10,1-0 1-2 0-5 2-3 3-4 5-6 6-7 6-8 6-9,0,U,2,6,2 3 5 2 6 2 3 2 2 2,6 6 5 4 6 5 3 6 6 6,156
