id,n,edges,solvable_mask,class,ps,fs,per_hole_min,per_hole_max,states
126,11,1-0 1-2 0-5 0-9 2-3 2-4 5-6 5-7 5-8 9-10,449,S,1,7,1 2 2 2 2 2 1 1 1 2 3,6 7 6 6 6 7 7 7 7 7 7,652
127,11,1-0 1-2 0-5 0-9 0-10 2-3 2-4 5-6 5-7 5-8,1598,S,1,8,2 1 1 1 1 1 2 2 2 1 1,8 7 5 8 8 7 7 7 7 7 7,709
128,11,1-0 1-2 0-5 0-8 2-3 2-4 5-6 5-7 8-9 8-10,1729,S,1,7,1 2 2 2 2 2 1 1 2 1 1,6 7 6 5 5 7 7 7 7 7 7,671
129,11,1-0 1-2 0-5 0-8 0-10 2-3 2-4 5-6 5-7 8-9,2047,F,1,7,1 1 1 1 1 1 1 1 1 1 1,6 7 6 6 6 7 7 7 7 7 7,799
130,11,1-0 1-2 0-5 0-8 0-9 0-10 2-3 2-4 5-6 5-7,0,U,2,8,3 2 3 2 2 2 3 3 2 2 2,8 7 5 8 8 7 7 7 7 7 7,568
131,11,1-0 1-2 0-5 0-7 0-9 2-3 2-4 5-6 7-8 9-10,2046,S,1,6,2 1 1 1 1 1 1 1 1 1 1,6 5 5 6 6 5 5 5 5 5 5,811
132,11,1-0 1-2 0-5 0-7 0-9 0-10 2-3 2-4 5-6 7-8,1722,S,1,7,2 1 2 1 1 1 2 1 2 1 1,6 7 6 6 6 7 7 7 7 7 7,636
133,11,1-0 1-2 0-5 0-7 0-8 0-9 0-10 2-3 2-4 5-6,0,U,4,8,5 4 5 4 4 4 5 4 4 4 4,8 7 6 8 8 7 7 7 7 7 7,261
134,11,1-0 1-2 1-4 1-6 0-8 2-3 4-5 6-7 8-9 9-10,258,S,1,5,2 1 2 2 2 2 2 2 1 2 2,4 5 4 4 4 4 4 4 5 4 4,725
135,11,1-0 1-2 1-4 1-6 1-7 0-8 2-3 4-5 8-9 9-10,2047,F,1,6,1 1 1 1 1 1 1 1 1 1 1,6 5 6 6 6 6 6 6 6 5 6,802
136,11,1-0 1-2 1-4 1-6 0-7 2-3 4-5 7-8 7-10 8-9,2047,F,1,6,1 1 1 1 1 1 1 1 1 1 1,6 5 6 6 6 6 6 6 5 5 5,866
