id,n,edges,solvable_mask,class,ps,fs,per_hole_min,per_hole_max,states
0,9,0-1 1-2 2-0 2-3 2-4 2-5 2-6 2-7 2-8,0,U,5,7,5 5 6 5 5 5 5 5 5,7 7 6 7 7 7 7 7 7,72
1,9,0-1 1-2 2-0 2-3 2-4 2-5 2-6 2-7 7-8,251,S,1,6,1 1 2 1 1 1 1 1 3,5 5 6 5 5 5 5 5 5,235
2,9,0-1 1-2 2-0 2-3 2-4 2-5 2-6 6-7 6-8,511,F,1,6,1 1 1 1 1 1 1 1 1,5 5 6 5 5 5 5 5 5,324
3,9,0-1 1-2 2-0 2-3 2-4 2-5 2-6 6-7 7-8,0,U,2,6,2 2 2 2 2 2 2 3 3,5 5 6 5 5 5 5 4 6,185
4,9,0-1 1-2 2-0 2-3 2-4 2-5 5-6 2-7 7-8,511,F,1,5,1 1 1 1 1 1 1 1 1,5 5 4 5 5 5 5 5 5,339
5,9,0-1 1-2 2-0 2-3 2-4 2-5 5-6 5-7 5-8,511,F,1,6,1 1 1 1 1 1 1 1 1,5 5 6 5 5 5 5 5 5,329
6,9,0-1 1-2 2-0 2-3 2-4 2-5 5-6 5-7 7-8,511,F,1,5,1 1 1 1 1 1 1 1 1,5 5 5 5 5 5 4 5 4,302
7,9,0-1 1-2 2-0 2-3 2-4 2-5 5-6 6-7 6-8,0,U,2,6,2 2 3 2 2 2 3 2 2,5 5 6 5 5 5 4 6 6,166
8,9,0-1 1-2 2-0 2-3 2-4 2-5 5-6 6-7 7-8,255,S,1,5,1 1 1 1 1 1 1 1 2,4 4 5 4 4 4 5 4 4,233
9,9,0-1 1-2 2-0 2-3 2-4 4-5 2-6 6-7 6-8,511,F,1,5,1 1 1 1 1 1 1 1 1,5 5 4 5 5 5 5 5 5,344
10,9,0-1 1-2 2-0 2-3 2-4 4-5 2-6 6-7 7-8,479,S,1,5,1 1 1 1 1 2 1 1 1,5 5 4 5 5 5 5 4 4,276
11,9,0-1 1-2 2-0 2-3 2-4 4-5 4-6 4-7 4-8,484,S,1,6,2 2 1 2 2 1 1 1 1,5 5 6 5 5 5 5 5 5,258
12,9,0-1 1-2 2-0 2-3 2-4 4-5 4-6 4-7 7-8,511,F,1,5,1 1 1 1 1 1 1 1 1,5 5 5 5 5 5 5 5 4,324
13,9,0-1 1-2 2-0 2-3 2-4 4-5 4-6 6-7 6-8,511,F,1,5,1 1 1 1 1 1 1 1 1,5 5 5 5 5 4 5 4 4,274
14,9,0-1 1-2 2-0 2-3 2-4 4-5 4-6 6-7 7-8,255,S,1,4,1 1 1 1 1 1 1 1 2,4 4 4 4 4 4 4 4 4,260
15,9,0-1 1-2 2-0 2-3 2-4 4-5 5-6 4-7 7-8,511,F,1,4,1 1 1 1 1 1 1 1 1,4 4 4 4 4 4 4 4 4,277
16,9,0-1 1-2 2-0 2-3 2-4 4-5 5-6 5-7 5-8,0,U,2,6,3 3 3 3 2 3 2 2 2,5 5 6 5 5 4 6 6 6,144
17,9,0-1 1-2 2-0 2-3 2-4 4-5 5-6 5-7 7-8,511,F,1,5,1 1 1 1 1 1 1 1 1,4 4 5 4 4 5 4 4 3,249
18,9,0-1 1-2 2-0 2-3 2-4 4-5 5-6 6-7 6-8,420,S,1,5,2 2 1 2 2 1 2 1 1,4 4 5 4 4 4 3 4 4,213
19,9,0-1 1-2 2-0 2-3 2-4 4-5 5-6 6-7 7-8,352,S,1,5,2 2 2 2 2 1 1 2 1,4 4 4 4 4 5 4 2 5,164
20,9,0-1 1-2 2-0 2-3 3-4 2-5 5-6 2-7 7-8,511,F,1,4,1 1 1 1 1 1 1 1 1,3 3 4 3 3 3 3 3 3,350
21,9,0-1 1-2 2-0 2-3 3-4 2-5 5-6 5-7 5-8,452,S,1,5,2 2 1 2 2 2 1 1 1,5 5 4 5 5 5 5 5 5,266
22,9,0-1 1-2 2-0 2-3 3-4 2-5 5-6 5-7 7-8,511,F,1,4,1 1 1 1 1 1 1 1 1,4 4 4 4 4 4 4 4 4,314
23,9,0-1 1-2 2-0 2-3 3-4 2-5 5-6 6-7 6-8,507,S,1,5,1 1 2 1 1 1 1 1 1,5 5 4 5 5 5 4 4 4,238
24,9,0-1 1-2 2-0 2-3 3-4 2-5 5-6 6-7 7-8,255,S,1,4,1 1 1 1 1 1 1 1 2,4 4 3 4 4 4 4 3 4,246
25,9,0-1 1-2 2-0 2-3 3-4 3-5 2-6 6-7 6-8,436,S,1,5,2 2 1 2 1 1 2 1 1,5 5 4 5 5 5 5 5 5,270
26,9,0-1 1-2 2-0 2-3 3-4 3-5 2-6 6-7 7-8,511,F,1,5,1 1 1 1 1 1 1 1 1,5 5 4 5 5 5 5 4 4,282
27,9,0-1 1-2 2-0 2-3 3-4 3-5 3-6 3-7 3-8,0,U,3,6,4 4 3 4 3 3 3 3 3,6 6 6 5 6 6 6 6 6,141
28,9,0-1 1-2 2-0 2-3 3-4 3-5 3-6 3-7 7-8,511,F,1,5,1 1 1 1 1 1 1 1 1,5 5 5 5 5 5 5 5 4,263
29,9,0-1 1-2 2-0 2-3 3-4 3-5 3-6 6-7 6-8,399,S,1,5,1 1 1 1 2 2 2 1 1,5 5 5 5 5 5 5 4 4,279
30,9,0-1 1-2 2-0 2-3 3-4 3-5 3-6 6-7 7-8,331,S,1,5,1 1 2 1 2 2 1 2 1,4 4 4 5 4 4 4 4 5,218
31,9,0-1 1-2 2-0 2-3 3-4 3-5 5-6 3-7 7-8,191,S,1,4,1 1 1 1 1 1 2 1 2,4 4 4 4 4 4 4 4 4,287
32,9,0-1 1-2 2-0 2-3 3-4 3-5 5-6 5-7 5-8,511,F,1,5,1 1 1 1 1 1 1 1 1,5 5 5 5 4 5 4 4 4,217
33,9,0-1 1-2 2-0 2-3 3-4 3-5 5-6 5-7 7-8,511,F,1,4,1 1 1 1 1 1 1 1 1,4 4 4 4 4 4 4 4 4,264
34,9,0-1 1-2 2-0 2-3 3-4 3-5 5-6 6-7 6-8,500,S,1,5,2 2 1 2 1 1 1 1 1,4 4 4 5 4 4 4 5 5,194
35,9,0-1 1-2 2-0 2-3 3-4 3-5 5-6 6-7 7-8,55,S,1,4,1 1 1 2 1 1 2 2 2,4 4 4 4 4 4 4 3 3,194
36,9,0-1 1-2 2-0 2-3 3-4 4-5 2-6 6-7 7-8,219,S,1,4,1 1 2 1 1 2 1 1 2,4 4 4 4 4 4 4 4 4,213
37,9,0-1 1-2 2-0 2-3 3-4 4-5 3-6 6-7 6-8,511,F,1,4,1 1 1 1 1 1 1 1 1,4 4 4 4 4 4 4 4 4,231
38,9,0-1 1-2 2-0 2-3 3-4 4-5 3-6 6-7 7-8,255,S,1,4,1 1 1 1 1 1 1 1 2,4 4 4 4 4 4 4 4 3,235
39,9,0-1 1-2 2-0 2-3 3-4 4-5 4-6 4-7 4-8,0,U,2,6,3 3 5 2 3 2 2 2 2,5 5 6 5 4 6 6 6 6,122
40,9,0-1 1-2 2-0 2-3 3-4 4-5 4-6 4-7 7-8,511,F,1,5,1 1 1 1 1 1 1 1 1,4 4 5 4 5 4 4 4 3,223
