id,n,edges,solvable_mask,class,ps,fs,per_hole_min,per_hole_max,states
0,8,0-1 1-2 2-0 2-3 2-4 2-5 2-6 2-7,0,U,4,6,4 4 5 4 4 4 4 4,6 6 5 6 6 6 6 6,56
1,8,0-1 1-2 2-0 2-3 2-4 2-5 2-6 6-7,127,S,1,5,1 1 1 1 1 1 1 2,4 4 5 4 4 4 4 4,140
2,8,0-1 1-2 2-0 2-3 2-4 2-5 5-6 5-7,255,F,1,5,1 1 1 1 1 1 1 1,4 4 5 4 4 4 4 4,170
3,8,0-1 1-2 2-0 2-3 2-4 2-5 5-6 6-7,59,S,1,5,1 1 2 1 1 1 2 2,4 4 5 4 4 4 3 5,111
4,8,0-1 1-2 2-0 2-3 2-4 4-5 2-6 6-7,255,F,1,4,1 1 1 1 1 1 1 1,4 4 3 4 4 4 4 4,176
5,8,0-1 1-2 2-0 2-3 2-4 4-5 4-6 4-7,255,F,1,5,1 1 1 1 1 1 1 1,4 4 5 4 4 4 4 4,152
6,8,0-1 1-2 2-0 2-3 2-4 4-5 4-6 6-7,255,F,1,4,1 1 1 1 1 1 1 1,4 4 4 4 4 3 4 3,156
7,8,0-1 1-2 2-0 2-3 2-4 4-5 5-6 5-7,0,U,2,5,2 2 2 2 2 2 2 2,4 4 5 4 4 3 5 5,100
8,8,0-1 1-2 2-0 2-3 2-4 4-5 5-6 6-7,255,F,1,4,1 1 1 1 1 1 1 1,3 3 4 3 3 4 3 3,119
9,8,0-1 1-2 2-0 2-3 3-4 2-5 5-6 5-7,255,F,1,4,1 1 1 1 1 1 1 1,4 4 3 4 4 4 4 4,157
10,8,0-1 1-2 2-0 2-3 3-4 2-5 5-6 6-7,127,S,1,4,1 1 1 1 1 1 1 2,4 4 3 4 4 4 3 3,141
11,8,0-1 1-2 2-0 2-3 3-4 3-5 3-6 3-7,0,U,2,5,3 3 2 3 2 2 2 2,5 5 5 4 5 5 5 5,97
12,8,0-1 1-2 2-0 2-3 3-4 3-5 3-6 6-7,255,F,1,4,1 1 1 1 1 1 1 1,4 4 4 4 4 4 4 3,142
13,8,0-1 1-2 2-0 2-3 3-4 3-5 5-6 5-7,55,S,1,4,1 1 1 2 1 1 2 2,4 4 4 4 3 4 3 3,126
14,8,0-1 1-2 2-0 2-3 3-4 3-5 5-6 6-7,116,S,1,4,2 2 1 2 1 1 1 2,3 3 3 4 3 3 3 4,112
15,8,0-1 1-2 2-0 2-3 3-4 4-5 3-6 6-7,247,S,1,3,1 1 1 2 1 1 1 1,3 3 3 3 3 3 3 3,130
16,8,0-1 1-2 2-0 2-3 3-4 4-5 4-6 4-7,232,S,1,5,2 2 4 1 2 1 1 1,4 4 5 4 3 5 5 5,84
17,8,0-1 1-2 2-0 2-3 3-4 4-5 4-6 6-7,31,S,1,4,1 1 1 1 1 2 2 2,3 3 4 3 4 3 3 2,120
18,8,0-1 1-2 2-0 2-3 3-4 4-5 5-6 5-7,219,S,1,4,1 1 2 1 1 2 1 1,3 3 4 4 3 2 4 4,96
19,8,0-1 1-2 2-0 2-3 3-4 4-5 5-6 6-7,91,S,1,4,1 1 2 1 1 2 1 4,3 3 3 3 4 3 2 4,77
20,8,0-1 1-2 2-0 1-3 2-4 2-5 2-6 2-7,0,U,2,6,2 2 3 3 2 2 2 2,6 5 5 6 6 6 6 6,116
21,8,0-1 1-2 2-0 1-3 2-4 2-5 2-6 6-7,255,F,1,5,1 1 1 1 1 1 1 1,4 4 5 5 4 4 4 4,172
22,8,0-1 1-2 2-0 1-3 2-4 2-5 5-6 5-7,255,F,1,5,1 1 1 1 1 1 1 1,4 4 5 5 4 4 4 4,167
23,8,0-1 1-2 2-0 1-3 2-4 2-5 5-6 6-7,115,S,1,5,1 1 2 2 1 1 1 2,4 4 5 4 4 4 3 5,138
24,8,0-1 1-2 2-0 1-3 2-4 4-5 2-6 6-7,255,F,1,4,1 1 1 1 1 1 1 1,4 4 3 4 4 4 4 4,171
25,8,0-1 1-2 2-0 1-3 2-4 4-5 4-6 4-7,228,S,1,5,2 2 1 3 2 1 1 1,5 5 5 5 4 5 5 5,122
26,8,0-1 1-2 2-0 1-3 2-4 4-5 4-6 6-7,255,F,1,4,1 1 1 1 1 1 1 1,3 4 4 3 4 3 4 3,150
27,8,0-1 1-2 2-0 1-3 2-4 4-5 5-6 5-7,221,S,1,5,1 2 1 1 1 2 1 1,4 4 5 4 4 3 5 5,122
28,8,0-1 1-2 2-0 1-3 2-4 4-5 5-6 6-7,247,S,1,4,1 1 1 2 1 1 1 1,3 3 4 4 4 4 3 4,116
29,8,0-1 1-2 2-0 1-3 1-4 2-5 2-6 2-7,255,F,1,6,1 1 1 1 1 1 1 1,6 5 5 6 6 6 6 6,157
30,8,0-1 1-2 2-0 1-3 1-4 2-5 2-6 6-7,255,F,1,5,1 1 1 1 1 1 1 1,4 4 5 5 5 4 4 4,168
