id,n,edges,solvable_mask,class,ps,fs,per_hole_min,per_hole_max,states
0,16,1-0 1-2 0-9 2-3 3-4 4-5 5-6 6-7 7-8 9-10 10-11 11-12 12-13 13-14 14-15,18576,S,1,8,3 3 2 3 1 2 3 1 8 2 3 1 2 3 1 8,6 6 6 7 6 8 7 6 8 6 7 6 8 7 6 8,822
1,16,1-0 1-2 0-9 2-3 3-4 4-5 5-6 6-7 6-8 9-10 10-11 11-12 12-13 13-14 14-15,0,U,2,8,3 4 3 3 4 2 3 2 2 4 2 3 4 2 3 8,6 6 7 6 8 7 6 8 8 6 7 7 8 8 7 8,835
2,16,1-0 1-2 0-9 2-3 3-4 4-5 5-6 6-7 6-8 9-10 10-11 11-12 12-13 13-14 13-15,53664,S,1,9,3 3 4 2 3 1 2 1 1 4 2 3 1 2 1 1,7 7 8 7 9 8 6 9 9 8 7 9 8 6 9 9,1043
3,16,1-0 1-2 0-9 2-3 3-4 4-5 5-6 5-8 6-7 9-10 10-11 11-12 12-13 13-14 14-15,63520,S,1,8,2 2 2 2 2 1 2 2 2 2 2 1 1 1 1 1,6 6 6 7 7 8 7 6 7 6 6 7 7 8 7 7,1688
4,16,1-0 1-2 0-9 2-3 3-4 4-5 5-6 5-8 6-7 9-10 10-11 11-12 12-13 13-14 13-15,0,U,2,9,2 2 2 2 2 3 2 4 2 2 2 2 2 2 2 2,7 7 7 7 8 8 8 7 7 8 7 9 8 5 9 9,1712
5,16,1-0 1-2 0-9 2-3 3-4 4-5 5-6 5-8 6-7 9-10 10-11 11-12 12-13 12-15 13-14,65535,F,1,8,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,7 7 7 7 8 7 8 7 7 7 7 8 7 8 7 7,3300
6,16,1-0 1-2 0-9 2-3 3-4 4-5 4-8 5-6 6-7 9-10 10-11 11-12 12-13 13-14 14-15,0,U,2,8,3 3 3 3 3 3 3 3 3 3 3 3 2 2 3 2,6 7 7 7 8 7 7 8 7 6 7 6 8 7 6 8,1450
7,16,1-0 1-2 0-9 2-3 3-4 4-5 4-8 5-6 6-7 9-10 10-11 11-12 12-13 13-14 13-15,0,U,2,9,3 3 3 2 2 2 2 2 2 3 3 3 2 3 2 2,7 7 8 8 9 8 7 9 8 7 6 8 7 6 8 8,1784
8,16,1-0 1-2 0-9 2-3 3-4 4-5 4-8 5-6 6-7 9-10 10-11 11-12 12-13 12-15 13-14,300,S,1,9,2 2 1 1 2 1 2 2 1 2 2 2 2 2 2 2,7 7 8 8 9 8 6 9 8 6 7 7 8 7 6 7,2806
9,16,1-0 1-2 0-9 2-3 3-4 4-5 4-8 5-6 6-7 9-10 10-11 11-12 11-15 12-13 13-14,0,U,2,8,3 3 2 2 3 2 3 3 2 2 2 3 2 3 3 2,7 7 7 7 8 7 7 8 7 7 7 8 7 7 8 7,2900
10,16,1-0 1-2 0-9 2-3 3-4 3-8 4-5 5-6 6-7 9-10 10-11 11-12 12-13 13-14 14-15,0,U,2,8,3 2 2 2 2 2 2 3 2 3 2 2 2 2 2 2,6 6 7 7 7 8 7 6 7 6 6 7 6 8 7 6,2007
11,16,1-0 1-2 0-9 2-3 3-4 3-8 4-5 5-6 6-7 9-10 10-11 11-12 12-13 13-14 13-15,53526,S,1,9,3 1 1 2 1 4 2 5 1 2 2 3 1 2 1 1,7 7 8 7 8 8 7 7 8 8 7 9 8 4 9 9,2076
12,16,1-0 1-2 0-9 2-3 3-4 3-8 4-5 5-6 6-7 9-10 10-11 11-12 12-13 12-15 13-14,383,S,1,8,1 1 1 1 1 1 1 2 1 2 2 2 2 2 2 2,7 7 8 7 8 8 7 7 8 7 7 8 7 8 7 7,3856
13,16,1-0 1-2 0-9 2-3 3-4 3-8 4-5 5-6 6-7 9-10 10-11 11-12 11-15 12-13 13-14,0,U,2,9,2 2 2 2 2 2 2 3 2 2 2 2 2 2 2 2,7 7 7 7 7 8 7 6 7 8 8 9 8 5 9 8,3320
14,16,1-0 1-2 0-9 2-3 3-4 3-8 4-5 5-6 6-7 9-10 10-11 10-15 11-12 12-13 13-14,35607,S,1,8,1 1 1 2 1 2 2 3 1 1 2 1 2 2 3 1,7 7 8 7 8 8 7 7 8 8 7 8 8 7 7 8,4479
15,16,1-0 1-2 0-9 2-3 2-8 3-4 4-5 5-6 6-7 9-10 10-11 11-12 12-13 13-14 14-15,0,U,2,8,2 2 3 2 4 3 3 4 2 3 3 2 3 3 2 3,7 7 7 7 8 7 6 8 7 7 7 6 8 7 5 8,1720
16,16,1-0 1-2 0-9 2-3 2-8 3-4 4-5 5-6 6-7 9-10 10-11 11-12 12-13 13-14 13-15,0,U,2,9,3 3 3 2 3 3 2 3 3 4 3 3 2 3 2 2,7 8 8 8 9 8 6 9 7 7 7 7 7 6 7 7,2114
17,16,1-0 1-2 0-9 2-3 2-8 3-4 4-5 5-6 6-7 9-10 10-11 11-12 12-13 12-15 13-14,0,U,2,9,2 2 2 2 2 2 2 2 2 2 3 3 2 3 3 3,7 8 8 8 9 8 5 9 7 7 7 7 8 7 5 7,3269
18,16,1-0 1-2 0-9 2-3 2-8 3-4 4-5 5-6 6-7 9-10 10-11 11-12 11-15 12-13 13-14,0,U,3,8,3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3,7 7 7 7 8 7 6 8 7 7 7 7 7 7 7 7,3366
19,16,1-0 1-2 0-9 2-3 2-8 3-4 4-5 5-6 6-7 9-10 10-11 10-15 11-12 12-13 13-14,0,U,2,9,2 2 3 2 2 3 2 3 2 2 3 2 3 3 4 2,7 8 8 8 9 8 4 9 7 7 7 7 8 7 6 6,3836
20,16,1-0 1-2 0-9 2-3 2-8 3-4 4-5 5-6 6-7 9-10 9-15 10-11 11-12 12-13 13-14,0,U,3,7,3 3 4 3 3 3 3 3 3 4 3 3 3 3 3 3,7 7 7 7 7 7 6 7 7 7 7 7 7 6 7 7,3633
