id,n,edges,solvable_mask,class,ps,fs,per_hole_min,per_hole_max,states
0,9,1-0 1-2 0-5 2-3 3-4 5-6 6-7 7-8,0,U,2,4,2 2 2 2 4 2 2 2 4,3 4 4 3 4 4 4 3 4,73
1,9,1-0 1-2 0-5 2-3 3-4 5-6 6-7 6-8,425,S,1,5,1 2 4 1 5 1 2 1 1,5 5 4 3 5 4 2 5 5,97
2,9,1-0 1-2 0-5 2-3 3-4 5-6 5-8 6-7,22,S,1,5,2 1 1 2 1 2 2 3 2,4 5 4 2 5 4 4 3 3,125
3,9,1-0 1-2 0-5 0-8 2-3 3-4 5-6 6-7,354,S,1,5,2 1 2 2 2 1 1 2 1,5 4 4 3 4 4 3 5 4,131
4,9,1-0 1-2 0-6 2-3 2-4 2-5 6-7 7-8,0,U,2,5,5 2 3 2 2 2 3 4 5,5 4 4 5 5 5 5 4 5,77
5,9,1-0 1-2 1-5 0-6 2-3 2-4 6-7 7-8,0,U,2,5,2 2 2 2 2 2 2 2 2,4 4 4 4 4 4 5 4 3,157
6,9,1-0 1-2 0-5 2-3 2-4 5-6 6-7 6-8,0,U,3,5,5 3 3 3 3 3 3 3 3,5 4 4 5 5 4 4 5 5,71
7,9,1-0 1-2 0-5 2-3 2-4 5-6 5-8 6-7,58,S,1,5,2 1 2 1 1 1 2 2 2,4 4 3 4 4 5 4 3 4,162
8,9,1-0 1-2 0-5 0-8 2-3 2-4 5-6 6-7,0,U,3,5,3 3 3 3 3 3 4 3 3,5 4 4 5 5 4 4 5 4,93
9,9,1-0 1-2 0-5 2-3 2-4 5-6 5-7 5-8,0,U,2,6,2 2 3 2 2 3 2 2 2,6 6 3 6 6 3 6 6 6,139
10,9,1-0 1-2 0-5 0-8 2-3 2-4 5-6 5-7,318,S,1,6,2 1 1 1 1 1 2 2 1,6 5 4 6 6 5 5 5 5,182
11,9,1-0 1-2 0-5 0-7 2-3 2-4 5-6 7-8,510,S,1,5,2 1 1 1 1 1 1 1 1,4 5 4 4 4 5 5 5 5,185
12,9,1-0 1-2 0-5 0-7 0-8 2-3 2-4 5-6,0,U,2,6,3 2 3 2 2 2 3 2 2,6 5 4 6 6 5 5 5 5,126
13,9,1-0 1-2 1-4 0-6 2-3 4-5 6-7 7-8,0,U,2,4,2 2 2 2 2 2 2 2 2,4 3 4 4 4 4 4 3 4,156
14,9,1-0 1-2 1-4 1-5 0-6 2-3 6-7 7-8,255,S,1,5,1 1 1 1 1 1 1 1 2,4 5 4 3 4 4 5 4 4,178
15,9,1-0 1-2 1-4 0-5 2-3 5-6 5-8 6-7,511,F,1,5,1 1 1 1 1 1 1 1 1,4 5 4 3 4 5 4 3 4,197
16,9,1-0 1-2 1-4 0-5 0-8 2-3 5-6 6-7,310,S,1,4,2 1 1 2 1 1 2 2 1,4 4 4 4 4 4 4 4 4,186
17,9,1-0 1-2 1-4 0-5 2-3 5-6 5-7 5-8,0,U,2,6,2 3 3 4 3 3 2 2 2,5 6 5 5 5 4 6 6 6,113
18,9,1-0 1-2 1-4 0-5 0-8 2-3 5-6 5-7,511,F,1,5,1 1 1 1 1 1 1 1 1,5 5 5 4 4 5 4 4 4,221
19,9,1-0 1-2 1-4 0-5 0-7 2-3 5-6 7-8,511,F,1,4,1 1 1 1 1 1 1 1 1,4 4 4 4 4 4 4 4 4,222
20,9,1-0 1-2 1-4 0-5 0-7 0-8 2-3 5-6,511,F,1,5,1 1 1 1 1 1 1 1 1,5 5 5 4 4 5 4 5 5,238
21,9,1-0 1-2 0-4 0-7 2-3 4-5 5-6 7-8,182,S,1,4,2 1 1 2 1 1 2 1 2,4 4 4 4 4 4 4 4 4,158
22,9,1-0 1-2 0-4 0-7 0-8 2-3 4-5 5-6,0,U,2,5,3 2 3 3 2 3 3 2 2,5 4 4 5 4 4 5 4 4,109
23,9,1-0 1-2 0-4 2-3 4-5 4-6 4-7 4-8,0,U,2,6,2 5 3 6 3 2 2 2 2,6 6 4 6 4 6 6 6 6,101
24,9,1-0 1-2 0-4 0-8 2-3 4-5 4-6 4-7,503,S,1,6,1 1 1 3 1 1 1 1 1,6 5 4 6 5 5 5 5 5,182
25,9,1-0 1-2 0-4 0-7 2-3 4-5 4-6 7-8,503,S,1,5,1 1 1 3 1 1 1 1 1,4 5 4 4 5 5 5 5 5,192
26,9,1-0 1-2 0-4 0-7 0-8 2-3 4-5 4-6,107,S,1,6,1 1 2 1 2 1 1 2 2,6 5 4 6 5 5 5 5 5,204
27,9,1-0 1-2 0-4 0-6 0-8 2-3 4-5 6-7,351,S,1,5,1 1 1 1 1 2 1 2 1,4 5 4 4 5 5 5 5 5,213
28,9,1-0 1-2 0-4 0-6 0-7 0-8 2-3 4-5,0,U,2,6,3 2 3 3 2 3 2 2 2,6 5 4 6 5 5 5 5 5,132
29,9,1-0 1-2 1-3 1-4 1-5 1-6 0-7 7-8,0,U,5,6,5 6 5 5 5 5 5 6 6,6 6 6 6 6 6 6 6 6,44
30,9,1-0 1-2 1-3 1-4 1-5 0-6 6-7 6-8,0,U,5,6,5 6 5 5 5 5 6 5 5,5 6 6 6 6 6 6 6 6,42
31,9,1-0 1-2 1-3 1-4 1-5 0-6 0-8 6-7,0,U,3,6,3 4 3 3 3 3 4 4 4,6 5 5 5 5 5 5 4 5,137
32,9,1-0 1-2 1-3 1-4 0-5 5-6 5-7 5-8,0,U,5,6,5 6 5 5 5 6 5 5 5,5 6 6 6 6 6 6 6 6,41
33,9,1-0 1-2 1-3 1-4 0-5 0-8 5-6 5-7,0,U,3,5,3 4 3 3 3 4 3 3 4,5 5 5 5 5 5 5 5 4,136
34,9,1-0 1-2 1-3 1-4 0-5 0-7 5-6 7-8,0,U,3,5,3 4 3 3 3 4 4 4 4,4 5 5 5 5 5 5 5 5,136
35,9,1-0 1-2 1-3 1-4 0-5 0-7 0-8 5-6,29,S,1,6,1 2 1 1 1 2 2 2 2,6 5 5 5 5 5 4 5 5,230
36,9,1-0 1-2 1-3 1-4 0-5 0-6 0-7 0-8,482,S,1,7,2 1 2 2 2 1 1 1 1,5 5 7 7 7 7 7 7 7,216
37,9,1-0 1-2 1-3 0-4 0-7 4-5 4-6 7-8,0,U,3,5,3 4 3 3 4 3 3 4 4,4 5 5 5 5 5 5 5 4,135
38,9,1-0 1-2 1-3 0-4 0-7 0-8 4-5 4-6,109,S,1,5,1 2 1 1 2 1 1 2 2,5 5 5 5 5 5 5 5 5,236
39,9,1-0 1-2 1-3 0-4 0-6 0-8 4-5 6-7,13,S,1,5,1 2 1 1 2 2 2 2 2,4 5 5 5 5 5 5 5 5,237
40,9,1-0 1-2 1-3 0-4 0-6 0-7 0-8 4-5,511,F,1,6,1 1 1 1 1 1 1 1 1,6 5 5 5 5 4 5 5 5,247
41,9,1-0 1-2 1-3 0-4 0-5 0-6 0-7 0-8,0,U,3,7,4 3 4 4 3 3 3 3 3,5 5 7 7 7 7 7 7 7,137
42,9,1-0 1-2 0-3 0-5 0-7 3-4 5-6 7-8,1,S,1,4,1 2 2 2 2 2 2 2 2,4 3 3 3 3 3 3 3 3,238
43,9,1-0 1-2 0-3 0-5 0-7 0-8 3-4 5-6,511,F,1,5,1 1 1 1 1 1 1 1 1,4 5 5 5 5 5 5 5 5,261
44,9,1-0 1-2 0-3 0-5 0-6 0-7 0-8 3-4,0,U,3,6,4 3 3 3 3 3 3 3 3,6 5 5 5 5 5 5 5 5,146
45,9,1-0 1-2 0-3 0-4 0-5 0-6 0-7 0-8,0,U,5,7,6 5 7 5 5 5 5 5 5,6 5 7 7 7 7 7 7 7,50
46,9,1-0 0-2 0-3 0-4 0-5 0-6 0-7 0-8,0,U,7,8,8 7 7 7 7 7 7 7 7,8 7 7 7 7 7 7 7 7,17
