id,n,edges,solvable_mask,class,ps,fs,per_hole_min,per_hole_max,states
0,7,1-0 1-2 0-4 2-3 4-5 5-6,0,U,2,3,3 2 2 3 2 2 3,3 3 2 3 3 2 3,31
1,7,1-0 1-2 0-4 2-3 4-5 4-6,117,S,1,4,1 3 1 4 1 1 1,4 4 2 4 2 4 4,42
2,7,1-0 1-2 0-4 0-6 2-3 4-5,11,S,1,4,1 1 2 1 2 2 2,4 3 2 4 3 3 3,49
3,7,1-0 1-2 1-3 1-4 0-5 5-6,0,U,3,4,3 4 3 3 3 4 4,4 4 4 4 4 4 4,27
4,7,1-0 1-2 1-3 0-4 4-5 4-6,0,U,3,4,3 4 3 3 4 3 3,3 4 4 4 4 4 4,27
5,7,1-0 1-2 1-3 0-4 0-6 4-5,13,S,1,4,1 2 1 1 2 2 2,4 3 3 3 3 2 3,58
6,7,1-0 1-2 1-3 0-4 0-5 0-6,114,S,1,5,2 1 2 2 1 1 1,3 3 5 5 5 5 5,59
7,7,1-0 1-2 0-3 0-5 3-4 5-6,1,S,1,3,1 2 2 2 2 2 2,2 3 3 3 3 3 3,56
8,7,1-0 1-2 0-3 0-5 0-6 3-4,126,S,1,4,2 1 1 1 1 1 1,4 3 3 3 3 3 3,61
9,7,1-0 1-2 0-3 0-4 0-5 0-6,0,U,3,5,4 3 5 3 3 3 3,4 3 5 5 5 5 5,31
10,7,1-0 0-2 0-3 0-4 0-5 0-6,0,U,5,6,6 5 5 5 5 5 5,6 5 5 5 5 5 5,13
