id,n,edges,solvable_mask,class,ps,fs,per_hole_min,per_hole_max,states
0,6,0-1 1-2 2-0 2-3 2-4 2-5,0,U,2,4,2 2 3 2 2 2,4 4 3 4 4 4,30
1,6,0-1 1-2 2-0 2-3 2-4 4-5,63,F,1,3,1 1 1 1 1 1,2 2 3 2 2 2,43
2,6,0-1 1-2 2-0 2-3 3-4 3-5,63,F,1,3,1 1 1 1 1 1,3 3 3 2 3 3,37
3,6,0-1 1-2 2-0 2-3 3-4 4-5,19,S,1,3,1 1 2 2 1 3,2 2 3 2 1 3,31
4,6,0-1 1-2 2-0 1-3 2-4 2-5,63,F,1,4,1 1 1 1 1 1,4 3 3 4 4 4,43
5,6,0-1 1-2 2-0 1-3 2-4 4-5,63,F,1,3,1 1 1 1 1 1,3 3 3 3 2 3,42
6,6,0-1 1-2 2-0 0-3 1-4 2-5,63,F,1,3,1 1 1 1 1 1,3 3 3 2 2 2,48
7,6,0-1 1-2 2-3 3-0 3-4 3-5,0,U,2,3,2 2 2 3 2 2,3 3 3 3 3 3,30
8,6,0-1 1-2 2-3 3-0 3-4 4-5,63,F,1,3,1 1 1 1 1 1,3 2 3 3 2 2,42
9,6,0-1 1-2 2-3 3-0 2-4 3-5,63,F,1,3,1 1 1 1 1 1,3 3 3 3 3 3,43
10,6,0-1 1-2 2-3 3-0 1-4 3-5,5,S,1,3,1 2 1 2 2 2,3 3 3 3 3 3,31
11,6,0-1 1-2 2-3 3-4 4-0 4-5,63,F,1,3,1 1 1 1 1 1,3 3 3 3 3 3,37
12,6,0-1 1-2 2-3 3-4 4-5 5-0,63,F,1,2,1 1 1 1 1 1,2 2 2 2 2 2,42
