id,n,edges,solvable_mask,class,ps,fs,per_hole_min,per_hole_max,states
0,14,0-1 1-2 2-0 2-3 2-4 2-5 2-6 2-7 2-8 2-9 2-10 2-11 2-12 2-13,0,U,10,12,10 10 11 10 10 10 10 10 10 10 10 10 10 10,12 12 11 12 12 12 12 12 12 12 12 12 12 12,182
1,14,0-1 1-2 2-0 2-3 2-4 2-5 2-6 2-7 2-8 2-9 2-10 2-11 2-12 12-13,0,U,6,11,6 6 7 6 6 6 6 6 6 6 6 6 6 8,10 10 11 10 10 10 10 10 10 10 10 10 10 10,1810
2,14,0-1 1-2 2-0 2-3 2-4 2-5 2-6 2-7 2-8 2-9 2-10 2-11 11-12 11-13,0,U,4,11,4 4 5 4 4 4 4 4 4 4 4 4 5 5,10 10 11 10 10 10 10 10 10 10 10 10 10 10,4383
3,14,0-1 1-2 2-0 2-3 2-4 2-5 2-6 2-7 2-8 2-9 2-10 2-11 11-12 12-13,0,U,6,11,6 6 7 6 6 6 6 6 6 6 6 6 8 8,10 10 11 10 10 10 10 10 10 10 10 10 9 11,1436
4,14,0-1 1-2 2-0 2-3 2-4 2-5 2-6 2-7 2-8 2-9 2-10 10-11 2-12 12-13,0,U,2,10,2 2 3 2 2 2 2 2 2 2 2 4 2 4,10 10 9 10 10 10 10 10 10 10 10 10 10 10,5295
5,14,0-1 1-2 2-0 2-3 2-4 2-5 2-6 2-7 2-8 2-9 2-10 10-11 10-12 10-13,0,U,2,11,2 2 3 2 2 2 2 2 2 2 2 3 3 3,10 10 11 10 10 10 10 10 10 10 10 10 10 10,7226
6,14,0-1 1-2 2-0 2-3 2-4 2-5 2-6 2-7 2-8 2-9 2-10 10-11 10-12 12-13,0,U,4,10,4 4 5 4 4 4 4 4 4 4 4 5 5 5,10 10 10 10 10 10 10 10 10 10 10 9 10 9,4191
7,14,0-1 1-2 2-0 2-3 2-4 2-5 2-6 2-7 2-8 2-9 2-10 10-11 11-12 11-13,0,U,6,11,6 6 7 6 6 6 6 6 6 6 6 8 7 7,10 10 11 10 10 10 10 10 10 10 10 9 11 11,1192
8,14,0-1 1-2 2-0 2-3 2-4 2-5 2-6 2-7 2-8 2-9 2-10 10-11 11-12 12-13,0,U,3,10,3 3 4 3 3 3 3 3 3 3 3 5 4 7,9 9 10 9 9 9 9 9 9 9 9 10 9 9,3278
9,14,0-1 1-2 2-0 2-3 2-4 2-5 2-6 2-7 2-8 2-9 9-10 2-11 11-12 11-13,15359,S,1,10,1 1 1 1 1 1 1 1 1 1 2 1 1 1,10 10 9 10 10 10 10 10 10 10 10 10 10 10,8374
