id,n,edges,solvable_mask,class,ps,fs,per_hole_min,per_hole_max,states
0,7,0-1 1-2 2-0 2-3 2-4 2-5 2-6,0,U,3,5,3 3 4 3 3 3 3,5 5 4 5 5 5 5,42
1,7,0-1 1-2 2-0 2-3 2-4 2-5 5-6,127,F,1,4,1 1 1 1 1 1 1,3 3 4 3 3 3 3,80
2,7,0-1 1-2 2-0 2-3 2-4 4-5 4-6,127,F,1,4,1 1 1 1 1 1 1,3 3 4 3 3 3 3,84
3,7,0-1 1-2 2-0 2-3 2-4 4-5 5-6,84,S,1,4,2 2 1 2 1 2 1,3 3 4 3 3 2 4,63
4,7,0-1 1-2 2-0 2-3 3-4 2-5 5-6,127,F,1,3,1 1 1 1 1 1 1,3 3 2 3 3 3 3,86
5,7,0-1 1-2 2-0 2-3 3-4 3-5 3-6,116,S,1,4,2 2 1 2 1 1 1,4 4 4 3 4 4 4,63
6,7,0-1 1-2 2-0 2-3 3-4 3-5 5-6,15,S,1,3,1 1 1 1 2 2 2,3 3 3 3 2 3 2,70
7,7,0-1 1-2 2-0 2-3 3-4 4-5 4-6,123,S,1,4,1 1 3 1 1 1 1,3 3 4 3 2 4 4,54
8,7,0-1 1-2 2-0 2-3 3-4 4-5 5-6,47,S,1,3,1 1 1 1 2 1 3,2 2 3 3 3 2 3,53
9,7,0-1 1-2 2-0 1-3 2-4 2-5 2-6,115,S,1,5,1 1 2 2 1 1 1,5 4 4 5 5 5 5,74
10,7,0-1 1-2 2-0 1-3 2-4 2-5 5-6,127,F,1,4,1 1 1 1 1 1 1,3 3 4 4 3 3 3,88
11,7,0-1 1-2 2-0 1-3 2-4 4-5 4-6,119,S,1,4,1 1 1 2 1 1 1,4 4 4 4 3 4 4,73
12,7,0-1 1-2 2-0 1-3 2-4 4-5 5-6,127,F,1,4,1 1 1 1 1 1 1,3 3 4 3 3 2 4,71
13,7,0-1 1-2 2-0 1-3 1-4 2-5 2-6,127,F,1,5,1 1 1 1 1 1 1,5 4 4 5 5 5 5,85
14,7,0-1 1-2 2-0 1-3 1-4 2-5 5-6,63,S,1,4,1 1 1 1 1 1 2,4 4 4 4 4 3 4,76
15,7,0-1 1-2 2-0 1-3 3-4 2-5 5-6,127,F,1,3,1 1 1 1 1 1 1,3 3 3 3 3 3 3,79
16,7,0-1 1-2 2-0 0-3 1-4 2-5 2-6,127,F,1,4,1 1 1 1 1 1 1,4 4 4 3 3 3 3,93
17,7,0-1 1-2 2-0 0-3 1-4 2-5 5-6,127,F,1,4,1 1 1 1 1 1 1,4 4 3 3 3 3 4,86
18,7,0-1 1-2 2-3 3-0 3-4 3-5 3-6,0,U,3,4,3 3 3 4 3 3 3,4 4 4 4 4 4 4,40
19,7,0-1 1-2 2-3 3-0 3-4 3-5 5-6,127,F,1,4,1 1 1 1 1 1 1,4 3 4 4 3 3 3,78
20,7,0-1 1-2 2-3 3-0 3-4 4-5 4-6,127,F,1,4,1 1 1 1 1 1 1,4 3 4 4 3 3 3,77
21,7,0-1 1-2 2-3 3-0 3-4 4-5 5-6,88,S,1,3,2 2 2 1 1 2 1,3 3 3 3 3 2 3,62
22,7,0-1 1-2 2-3 3-0 2-4 3-5 3-6,127,F,1,4,1 1 1 1 1 1 1,4 4 4 4 4 4 4,79
23,7,0-1 1-2 2-3 3-0 2-4 3-5 5-6,127,F,1,3,1 1 1 1 1 1 1,3 3 3 3 3 3 3,78
24,7,0-1 1-2 2-3 3-0 1-4 3-5 3-6,0,U,2,4,2 3 2 3 3 2 2,4 4 4 4 4 4 4,42
25,7,0-1 1-2 2-3 3-0 1-4 3-5 5-6,63,S,1,4,1 1 1 1 1 1 2,4 3 4 4 4 3 3,70
26,7,0-1 1-2 2-3 3-0 1-4 2-5 3-6,127,F,1,4,1 1 1 1 1 1 1,3 4 4 4 4 3 4,80
27,7,0-1 1-2 2-3 3-4 4-0 4-5 4-6,127,F,1,4,1 1 1 1 1 1 1,4 4 4 4 4 4 4,72
28,7,0-1 1-2 2-3 3-4 4-0 4-5 5-6,31,S,1,3,1 1 1 1 1 2 2,3 3 3 3 3 3 3,69
29,7,0-1 1-2 2-3 3-4 4-0 3-5 4-6,127,F,1,4,1 1 1 1 1 1 1,4 3 4 4 4 3 3,82
30,7,0-1 1-2 2-3 3-4 4-0 2-5 4-6,127,F,1,4,1 1 1 1 1 1 1,4 4 4 4 4 4 4,77
31,7,0-1 1-2 2-3 3-4 4-5 5-0 5-6,127,F,1,3,1 1 1 1 1 1 1,3 3 3 3 3 3 3,79
32,7,0-1 1-2 2-3 3-4 4-5 5-6 6-0,0,U,2,3,2 2 2 2 2 2 2,3 3 3 3 3 3 3,49
