id,n,edges,solvable_mask,class,ps,fs,per_hole_min,per_hole_max,states
0,12,1-0 1-2 0-7 2-3 3-4 4-5 5-6 7-8 8-9 9-10 10-11,1188,S,1,6,2 2 1 2 3 1 6 1 2 3 1 6,5 5 4 6 5 4 6 4 6 5 4 6,243
1,12,1-0 1-2 0-7 2-3 3-4 4-5 4-6 7-8 8-9 9-10 10-11,0,U,2,6,2 3 3 2 3 2 2 3 4 2 3 6,5 4 6 5 4 6 6 5 6 6 5 6,247
2,12,1-0 1-2 0-7 2-3 3-4 4-5 4-6 7-8 8-9 9-10 9-11,3432,S,1,7,2 2 3 1 2 1 1 3 1 2 1 1,6 6 7 6 4 7 7 7 6 4 7 7,350
3,12,1-0 1-2 0-7 2-3 3-4 3-6 4-5 7-8 8-9 9-10 10-11,3976,S,1,6,2 2 2 1 2 2 2 1 1 1 1 1,4 5 5 6 5 4 5 5 5 6 5 5,456
4,12,1-0 1-2 0-7 2-3 3-4 3-6 4-5 7-8 8-9 9-10 9-11,0,U,2,7,2 2 2 3 2 4 2 2 2 2 2 2,5 6 6 6 6 5 5 7 6 3 7 7,457
5,12,1-0 1-2 0-7 2-3 3-4 3-6 4-5 7-8 8-9 8-11 9-10,4095,F,1,6,1 1 1 1 1 1 1 1 1 1 1 1,5 5 6 5 6 5 5 6 5 6 5 5,804
6,12,1-0 1-2 0-7 2-3 2-6 3-4 4-5 7-8 8-9 9-10 10-11,0,U,2,6,3 3 3 3 3 3 3 3 2 2 3 2,5 5 6 5 5 6 5 5 6 5 4 6,379
7,12,1-0 1-2 0-7 2-3 2-6 3-4 4-5 7-8 8-9 9-10 9-11,0,U,2,7,3 2 2 2 2 2 2 3 2 3 2 2,6 6 7 6 5 7 6 6 5 4 6 6,526
8,12,1-0 1-2 0-7 2-3 2-6 3-4 4-5 7-8 8-9 8-11 9-10,75,S,1,7,1 1 2 1 2 2 1 2 2 2 2 2,6 6 7 6 4 7 6 5 6 5 4 5,663
9,12,1-0 1-2 0-7 2-3 2-6 3-4 4-5 7-8 7-11 8-9 9-10,0,U,2,6,2 2 3 2 3 3 2 3 2 3 3 2,5 5 6 5 5 6 5 6 5 5 6 5,718
10,12,1-0 1-2 1-6 0-7 2-3 3-4 4-5 7-8 8-9 9-10 10-11,0,U,2,6,2 2 2 2 2 3 2 2 2 2 2 2,5 5 5 6 5 4 5 5 4 6 5 4,507
11,12,1-0 1-2 1-6 0-7 2-3 3-4 4-5 7-8 8-9 9-10 9-11,3525,S,1,7,1 2 1 4 2 4 1 1 1 2 1 1,6 6 6 6 5 5 6 7 6 4 7 7,517
12,12,1-0 1-2 1-6 0-7 2-3 3-4 4-5 7-8 8-9 8-11 9-10,479,S,1,6,1 1 1 1 1 2 1 1 1 2 2 2,6 5 6 6 5 5 6 6 5 6 5 5,871
13,12,1-0 1-2 1-6 0-7 2-3 3-4 4-5 7-8 7-11 8-9 9-10,2817,S,1,7,1 2 2 2 2 3 2 2 1 1 2 1,6 6 5 6 5 5 5 7 6 4 7 6,721
14,12,1-0 1-2 1-6 0-7 0-11 2-3 3-4 4-5 7-8 8-9 9-10,2775,S,1,6,1 1 1 2 1 2 1 1 2 1 2 1,6 6 6 6 5 5 6 6 6 5 5 6,886
15,12,1-0 1-2 0-6 0-11 2-3 3-4 4-5 6-7 7-8 8-9 9-10,0,U,2,6,3 2 2 3 2 3 2 2 3 2 3 2,5 5 6 5 4 6 5 6 5 4 6 5,420
16,12,1-0 1-2 0-6 2-3 3-4 4-5 6-7 7-8 8-9 8-10 8-11,0,U,2,7,3 2 3 5 2 7 3 2 3 2 2 2,6 6 7 6 5 7 7 6 4 7 7 7,313
17,12,1-0 1-2 0-6 2-3 3-4 4-5 6-7 7-8 7-11 8-9 8-10,2387,S,1,7,1 1 2 2 1 2 1 2 1 2 2 1,6 5 7 6 3 7 6 5 6 5 5 5,591
18,12,1-0 1-2 0-6 2-3 3-4 4-5 6-7 6-11 7-8 8-9 8-10,0,U,2,7,2 2 3 3 2 3 3 2 2 2 2 2,6 6 6 6 5 6 7 6 5 7 7 6,462
19,12,1-0 1-2 0-6 0-11 2-3 3-4 4-5 6-7 7-8 8-9 8-10,0,U,2,7,3 2 2 3 2 3 2 2 3 2 2 2,6 6 7 6 4 7 6 6 5 5 5 6,567
20,12,1-0 1-2 0-6 2-3 3-4 4-5 6-7 7-8 7-10 8-9 10-11,3922,S,1,5,2 1 2 2 1 2 1 2 1 1 1 1,5 5 5 5 4 5 5 5 5 5 5 5,564
21,12,1-0 1-2 0-6 2-3 3-4 4-5 6-7 7-8 7-10 7-11 8-9,0,U,2,7,2 2 2 2 2 2 2 2 2 2 2 2,6 5 7 6 4 7 6 6 6 4 6 6,565
22,12,1-0 1-2 0-6 2-3 3-4 4-5 6-7 6-11 7-8 7-10 8-9,4055,S,1,6,1 1 1 2 1 2 1 1 1 1 1 1,6 5 5 5 4 5 6 6 6 5 5 5,805
23,12,1-0 1-2 0-6 0-11 2-3 3-4 4-5 6-7 7-8 7-10 8-9,0,U,2,7,2 2 2 2 2 2 2 2 2 3 2 2,6 6 7 6 3 7 6 6 5 5 5 5,696
24,12,1-0 1-2 0-6 2-3 3-4 4-5 6-7 6-10 7-8 8-9 10-11,3543,S,1,6,1 1 1 2 1 2 1 1 1 3 1 1,6 6 6 5 4 6 5 6 5 5 6 6,659
25,12,1-0 1-2 0-6 2-3 3-4 4-5 6-7 6-10 6-11 7-8 8-9,146,S,1,7,2 1 2 3 1 3 2 1 2 2 2 2,6 6 6 6 5 6 7 6 5 7 6 6,583
26,12,1-0 1-2 0-6 0-11 2-3 3-4 4-5 6-7 6-10 7-8 8-9,1427,S,1,6,1 1 2 2 1 3 2 1 1 3 1 2,5 6 6 5 4 6 5 6 5 5 6 6,773
27,12,1-0 1-2 0-6 0-10 2-3 3-4 4-5 6-7 7-8 8-9 10-11,1367,S,1,5,1 1 1 3 1 3 1 2 1 2 1 2,5 5 5 5 4 5 5 5 5 5 5 5,684
28,12,1-0 1-2 0-6 0-10 0-11 2-3 3-4 4-5 6-7 7-8 8-9,44,S,1,7,2 2 1 1 2 1 2 2 2 2 2 2,6 6 7 6 4 7 6 6 5 5 6 6,680
29,12,1-0 1-2 0-8 2-3 3-4 3-5 3-6 3-7 8-9 9-10 10-11,0,U,4,7,5 4 4 5 4 4 4 4 5 4 5 7,6 7 6 5 7 7 7 7 7 7 6 7,252
30,12,1-0 1-2 0-8 2-3 2-7 3-4 3-5 3-6 8-9 9-10 10-11,0,U,2,7,3 2 2 3 2 2 2 3 3 2 3 3,6 6 6 6 6 6 6 5 5 7 6 5,631
31,12,1-0 1-2 1-7 0-8 2-3 3-4 3-5 3-6 8-9 9-10 10-11,0,U,2,7,3 4 2 3 2 2 2 3 4 4 5 4,6 7 6 6 7 7 7 6 7 6 5 7,356
32,12,1-0 1-2 0-7 2-3 3-4 3-5 3-6 7-8 8-9 9-10 9-11,0,U,4,7,5 4 4 5 4 4 4 4 4 5 4 4,5 7 6 5 7 7 7 7 6 5 7 7,222
33,12,1-0 1-2 0-7 2-3 3-4 3-5 3-6 7-8 8-9 8-11 9-10,0,U,2,7,3 3 2 3 2 2 2 3 2 3 3 3,6 6 6 5 6 6 6 6 7 6 5 6,583
34,12,1-0 1-2 0-7 2-3 3-4 3-5 3-6 7-8 7-11 8-9 9-10,0,U,3,7,4 4 3 4 3 3 3 5 4 4 5 4,6 7 6 5 7 7 7 7 6 6 7 6,349
35,12,1-0 1-2 0-7 0-11 2-3 3-4 3-5 3-6 7-8 8-9 9-10,0,U,3,7,3 4 3 4 3 3 3 4 3 3 4 4,6 6 6 5 6 6 6 6 7 6 5 6,582
36,12,1-0 1-2 0-7 2-3 3-4 3-5 3-6 7-8 8-9 8-10 8-11,0,U,3,8,4 4 3 4 3 3 3 3 4 3 3 3,8 8 7 5 8 8 8 7 5 8 8 8,471
37,12,1-0 1-2 0-8 2-3 2-6 3-4 3-5 6-7 8-9 9-10 10-11,0,U,2,6,2 2 2 2 2 2 2 3 3 2 3 3,6 6 5 6 6 6 6 5 6 5 4 6,653
38,12,1-0 1-2 0-8 2-3 2-6 2-7 3-4 3-5 8-9 9-10 10-11,3893,S,1,7,1 2 1 2 1 1 2 2 1 1 1 1,6 6 6 6 6 6 6 6 5 7 6 5,923
39,12,1-0 1-2 1-7 0-8 2-3 2-6 3-4 3-5 8-9 9-10 10-11,0,U,2,6,2 2 2 2 2 2 2 2 3 2 2 3,6 6 6 6 6 6 6 6 6 6 5 6,844
40,12,1-0 1-2 0-7 2-3 2-6 3-4 3-5 7-8 8-9 9-10 9-11,0,U,2,6,2 3 2 3 2 2 3 3 2 2 2 2,5 6 6 6 6 6 5 5 6 5 6 6,640
41,12,1-0 1-2 0-7 2-3 2-6 3-4 3-5 7-8 8-9 8-11 9-10,511,S,1,7,1 1 1 1 1 1 1 1 1 2 2 2,6 6 6 6 6 6 5 6 7 6 4 6,987
42,12,1-0 1-2 0-7 2-3 2-6 3-4 3-5 7-8 7-11 8-9 9-10,0,U,2,6,2 2 2 2 2 2 2 2 2 3 2 2,6 6 6 6 5 5 5 6 6 6 6 6,864
43,12,1-0 1-2 0-7 0-11 2-3 2-6 3-4 3-5 7-8 8-9 9-10,2813,S,1,7,1 2 1 1 1 1 1 1 2 1 2 1,6 6 6 6 6 6 5 6 7 6 5 5,1052
44,12,1-0 1-2 0-7 2-3 2-6 3-4 3-5 7-8 8-9 8-10 8-11,0,U,2,8,2 2 3 2 3 3 2 2 3 2 2 2,8 7 7 7 6 6 6 7 5 8 8 8,715
45,12,1-0 1-2 0-7 2-3 2-6 3-4 3-5 7-8 7-11 8-9 8-10,2379,S,1,7,1 1 2 1 2 2 1 2 1 2 2 1,7 7 6 7 6 6 6 6 7 6 6 6,1205
46,12,1-0 1-2 1-6 0-8 2-3 3-4 3-5 6-7 8-9 9-10 10-11,0,U,2,6,2 2 2 2 2 2 2 3 3 2 2 3,6 6 6 6 5 5 6 6 6 6 5 6,660
47,12,1-0 1-2 1-6 1-7 0-8 2-3 3-4 3-5 8-9 9-10 10-11,0,U,3,7,3 3 3 3 3 3 3 3 4 3 4 4,6 7 6 5 7 7 6 6 7 6 5 7,445
48,12,1-0 1-2 1-6 0-7 2-3 3-4 3-5 7-8 8-9 9-10 9-11,0,U,3,7,3 4 3 3 3 3 3 4 4 4 4 4,6 7 6 6 7 7 6 7 6 5 7 7,329
49,12,1-0 1-2 1-6 0-7 2-3 3-4 3-5 7-8 8-9 8-11 9-10,0,U,2,6,2 3 2 2 2 2 2 2 2 3 3 3,6 6 6 6 6 6 6 6 6 6 5 5,776
50,12,1-0 1-2 1-6 0-7 2-3 3-4 3-5 7-8 7-11 8-9 9-10,0,U,3,7,3 3 3 3 3 3 3 3 3 4 4 3,6 7 6 5 7 7 6 7 6 5 7 6,471
51,12,1-0 1-2 1-6 0-7 0-11 2-3 3-4 3-5 7-8 8-9 9-10,0,U,2,6,2 2 2 3 2 2 3 2 2 2 4 2,6 6 6 6 6 6 6 6 6 5 6 6,786
52,12,1-0 1-2 1-6 0-7 2-3 3-4 3-5 7-8 8-9 8-10 8-11,0,U,3,8,3 4 3 3 3 3 3 3 4 3 3 3,7 8 7 6 8 8 7 7 6 7 7 7,636
53,12,1-0 1-2 1-6 0-7 2-3 3-4 3-5 7-8 7-11 8-9 8-10,125,S,1,8,1 2 1 1 1 1 1 3 2 3 3 2,7 8 7 5 8 8 7 7 6 6 6 6,919
54,12,1-0 1-2 1-6 0-7 0-11 2-3 3-4 3-5 7-8 8-9 8-10,1716,S,1,7,2 2 1 2 1 1 2 1 2 1 1 2,7 7 7 6 7 7 7 7 6 7 7 7,918
55,12,1-0 1-2 0-6 0-11 2-3 3-4 3-5 6-7 7-8 8-9 8-10,0,U,2,6,3 4 2 3 2 2 4 2 3 2 2 4,5 6 6 5 6 6 6 6 5 6 6 6,625
56,12,1-0 1-2 0-6 2-3 3-4 3-5 6-7 7-8 7-10 8-9 10-11,0,U,2,6,2 3 2 2 2 2 3 2 3 3 3 3,6 6 5 4 6 6 6 5 6 6 6 6,623
57,12,1-0 1-2 0-6 2-3 3-4 3-5 6-7 7-8 7-10 7-11 8-9,3957,S,1,7,1 2 1 2 1 1 1 2 1 1 1 1,6 6 6 5 6 6 6 7 6 4 6 6,783
58,12,1-0 1-2 0-6 2-3 3-4 3-5 6-7 6-11 7-8 7-10 8-9,0,U,2,6,2 2 2 2 2 2 3 2 3 3 3 2,6 6 6 5 6 6 6 6 6 6 6 6,800
59,12,1-0 1-2 0-6 0-11 2-3 3-4 3-5 6-7 7-8 7-10 8-9,2303,S,1,7,1 1 1 1 1 1 1 1 2 2 2 1,6 6 6 5 6 6 6 7 6 5 6 5,964
60,12,1-0 1-2 0-6 2-3 3-4 3-5 6-7 6-10 7-8 8-9 10-11,180,S,1,6,2 3 1 2 1 1 3 1 2 3 2 2,6 6 6 5 6 6 6 6 6 5 6 6,643
