id,n,edges,solvable_mask,class,ps,fs,per_hole_min,per_hole_max,states
0,13,1-0 1-2 0-7 2-3 3-4 4-5 5-6 7-8 8-9 9-10 10-11 11-12,0,U,2,6,3 2 2 3 2 2 6 2 2 3 2 2 6,4 5 5 6 6 5 6 5 5 6 6 5 6,325
1,13,1-0 1-2 0-7 2-3 3-4 4-5 5-6 7-8 8-9 9-10 10-11 10-12,6692,S,1,7,2 3 1 2 4 1 7 2 3 1 2 1 1,6 6 5 7 6 5 7 5 7 6 4 7 7,390
2,13,1-0 1-2 0-7 2-3 3-4 4-5 5-6 7-8 8-9 9-10 9-12 10-11,88,S,1,7,2 2 2 1 1 2 1 2 2 2 2 3 2,5 6 5 7 6 4 7 5 6 6 6 5 5,619
3,13,1-0 1-2 0-7 2-3 3-4 4-5 5-6 7-8 8-9 8-12 9-10 10-11,0,U,2,7,3 3 2 2 2 2 2 2 2 2 2 2 2,6 5 5 6 6 5 6 6 7 6 5 7 6,610
4,13,1-0 1-2 0-7 2-3 3-4 4-5 5-6 7-8 7-12 8-9 9-10 10-11,4391,S,1,7,1 1 1 2 2 1 2 2 1 3 2 4 1,6 6 5 7 6 3 7 5 6 6 5 5 6,706
5,13,1-0 1-2 0-7 0-12 2-3 3-4 4-5 5-6 7-8 8-9 9-10 10-11,0,U,2,7,3 2 2 3 3 2 3 2 2 3 2 3 2,6 6 5 5 6 5 5 6 7 6 4 7 5,691
6,13,1-0 1-2 0-8 2-3 3-4 4-5 4-6 4-7 8-9 9-10 10-11 11-12,0,U,3,7,3 4 4 3 4 3 3 3 4 5 3 4 7,6 5 7 6 5 7 7 7 6 7 7 6 7,357
7,13,1-0 1-2 0-8 2-3 3-4 3-7 4-5 4-6 8-9 9-10 10-11 11-12,0,U,2,7,2 2 2 2 2 2 2 2 2 2 2 2 2,5 5 6 6 6 6 6 5 6 5 7 6 5,855
8,13,1-0 1-2 0-8 2-3 2-7 3-4 4-5 4-6 8-9 9-10 10-11 11-12,0,U,3,7,3 3 4 3 3 3 3 3 4 3 3 4 3,6 6 7 6 6 7 7 6 6 7 6 5 7,544
9,13,1-0 1-2 1-7 0-8 2-3 3-4 4-5 4-6 8-9 9-10 10-11 11-12,0,U,2,7,3 3 3 2 3 2 2 3 2 3 3 2 3,6 5 6 6 5 6 6 6 6 5 7 6 5,835
10,13,1-0 1-2 0-7 2-3 3-4 4-5 4-6 7-8 8-9 9-10 10-11 10-12,0,U,3,7,3 4 4 3 4 3 3 4 4 3 4 3 3,6 5 7 6 5 7 7 5 7 6 5 7 7,333
11,13,1-0 1-2 0-7 2-3 3-4 4-5 4-6 7-8 8-9 9-10 9-12 10-11,616,S,1,7,2 2 2 1 2 1 1 2 2 1 2 2 2,5 5 6 6 5 6 6 6 6 7 6 5 6,755
12,13,1-0 1-2 0-7 2-3 3-4 4-5 4-6 7-8 8-9 8-12 9-10 10-11,0,U,3,7,3 3 3 3 3 3 3 3 4 3 4 4 3,6 6 7 6 4 7 7 6 7 6 6 7 6,545
13,13,1-0 1-2 0-7 2-3 3-4 4-5 4-6 7-8 7-12 8-9 9-10 10-11,0,U,2,7,3 2 3 2 2 2 2 2 3 2 2 3 3,6 5 5 6 5 6 6 6 6 7 6 5 6,844
14,13,1-0 1-2 0-7 0-12 2-3 3-4 4-5 4-6 7-8 8-9 9-10 10-11,0,U,2,7,3 2 2 2 3 2 2 2 3 3 3 4 2,6 6 7 6 5 7 7 6 7 6 5 7 6,614
15,13,1-0 1-2 0-7 2-3 3-4 4-5 4-6 7-8 8-9 9-10 9-11 9-12,0,U,2,8,3 3 4 2 3 2 2 4 2 3 2 2 2,7 7 8 7 5 8 8 8 7 5 8 8 8,536
16,13,1-0 1-2 0-7 2-3 3-4 4-5 4-6 7-8 8-9 8-12 9-10 9-11,4841,S,1,8,1 2 2 1 2 1 1 1 2 1 2 2 1,7 6 8 7 4 8 8 7 6 7 6 6 6,973
17,13,1-0 1-2 0-7 2-3 3-4 4-5 4-6 7-8 7-12 8-9 9-10 9-11,0,U,2,8,3 3 4 2 3 2 2 3 2 3 2 2 3,7 7 7 6 5 7 7 8 7 6 8 8 7,808
18,13,1-0 1-2 0-7 0-12 2-3 3-4 4-5 4-6 7-8 8-9 9-10 9-11,0,U,2,8,3 2 2 2 2 2 2 2 2 3 2 2 2,7 7 8 7 5 8 8 7 7 6 6 6 7,914
