id,n,edges,solvable_mask,class,ps,fs,per_hole_min,per_hole_max,states
0,8,1-0 1-2 0-5 2-3 3-4 5-6 6-7,75,S,1,4,1 1 3 1 4 3 1 4,4 4 3 2 4 3 2 4,52
1,8,1-0 1-2 0-5 2-3 2-4 5-6 6-7,0,U,2,4,4 2 2 2 2 2 3 4,4 3 3 4 4 4 3 4,51
2,8,1-0 1-2 0-5 2-3 2-4 5-6 5-7,219,S,1,5,1 1 2 1 1 2 1 1,5 5 2 5 5 2 5 5,85
3,8,1-0 1-2 1-4 0-5 2-3 5-6 6-7,227,S,1,4,1 1 2 2 2 1 1 1,3 4 3 2 3 4 3 3,88
4,8,1-0 1-2 1-4 0-5 2-3 5-6 5-7,0,U,2,5,2 2 2 3 2 2 2 2,4 5 4 4 4 3 5 5,78
5,8,1-0 1-2 1-4 0-5 0-7 2-3 5-6,255,F,1,4,1 1 1 1 1 1 1 1,4 4 4 3 3 4 3 3,120
6,8,1-0 1-2 0-4 0-7 2-3 4-5 5-6,0,U,2,4,2 2 3 2 2 3 2 3,4 3 3 4 3 3 4 3,64
7,8,1-0 1-2 0-4 2-3 4-5 4-6 4-7,225,S,1,5,1 4 2 5 2 1 1 1,5 5 3 5 3 5 5 5,68
8,8,1-0 1-2 0-4 0-7 2-3 4-5 4-6,150,S,1,5,2 1 1 2 1 2 2 1,5 4 3 5 4 4 4 4,100
9,8,1-0 1-2 0-4 0-6 2-3 4-5 6-7,246,S,1,4,2 1 1 2 1 1 1 1,3 4 3 3 4 4 4 4,101
10,8,1-0 1-2 0-4 0-6 0-7 2-3 4-5,210,S,1,5,2 1 2 2 1 2 1 1,5 4 3 5 4 4 4 4,85
11,8,1-0 1-2 1-3 1-4 1-5 0-6 6-7,0,U,4,5,4 5 4 4 4 4 5 5,5 5 5 5 5 5 5 5,35
12,8,1-0 1-2 1-3 1-4 0-5 5-6 5-7,0,U,4,5,4 5 4 4 4 5 4 4,4 5 5 5 5 5 5 5,34
13,8,1-0 1-2 1-3 1-4 0-5 0-7 5-6,0,U,2,5,2 3 2 2 2 3 3 3,5 4 4 4 4 4 3 4,93
14,8,1-0 1-2 1-3 1-4 0-5 0-6 0-7,255,F,1,6,1 1 1 1 1 1 1 1,4 4 6 6 6 6 6 6,119
15,8,1-0 1-2 1-3 0-4 0-7 4-5 4-6,0,U,2,4,2 3 2 2 3 2 2 3,4 4 4 4 4 4 4 3,91
16,8,1-0 1-2 1-3 0-4 0-6 4-5 6-7,0,U,2,4,2 3 2 2 3 3 3 3,3 4 4 4 4 4 4 4,91
17,8,1-0 1-2 1-3 0-4 0-6 0-7 4-5,255,F,1,5,1 1 1 1 1 1 1 1,5 4 4 4 4 3 4 4,128
18,8,1-0 1-2 1-3 0-4 0-5 0-6 0-7,0,U,2,6,3 2 3 3 2 2 2 2,4 4 6 6 6 6 6 6,93
19,8,1-0 1-2 0-3 0-5 0-7 3-4 5-6,255,F,1,4,1 1 1 1 1 1 1 1,3 4 4 4 4 4 4 4,132
20,8,1-0 1-2 0-3 0-5 0-6 0-7 3-4,0,U,2,5,3 2 2 2 2 2 2 2,5 4 4 4 4 4 4 4,98
21,8,1-0 1-2 0-3 0-4 0-5 0-6 0-7,0,U,4,6,5 4 6 4 4 4 4 4,5 4 6 6 6 6 6 6,40
22,8,1-0 0-2 0-3 0-4 0-5 0-6 0-7,0,U,6,7,7 6 6 6 6 6 6 6,7 6 6 6 6 6 6 6,15
