id,n,edges,solvable_mask,class,ps,fs,per_hole_min,per_hole_max,states
0,15,1-0 1-2 0-8 2-3 3-4 4-5 5-6 6-7 8-9 9-10 10-11 11-12 12-13 13-14,0,U,2,7,3 3 2 2 3 2 2 7 3 2 2 3 2 2 7,5 5 6 6 7 7 6 7 5 6 6 7 7 6 7,603
1,15,1-0 1-2 0-8 2-3 3-4 4-5 5-6 6-7 8-9 9-10 10-11 11-12 12-13 12-14,26696,S,1,8,3 2 3 1 2 4 1 8 3 2 3 1 2 1 1,6 6 7 6 8 7 6 8 7 6 8 7 5 8 8,696
2,15,1-0 1-2 0-8 2-3 3-4 4-5 5-6 6-7 8-9 9-10 10-11 11-12 11-14 12-13,176,S,1,8,2 2 2 2 1 1 2 1 2 2 2 2 2 3 2,6 6 7 6 8 7 5 8 6 6 7 7 7 6 6,1205
3,15,1-0 1-2 0-8 2-3 3-4 4-5 5-6 6-7 8-9 9-10 10-11 10-14 11-12 12-13,0,U,2,8,3 3 3 2 2 2 2 2 3 2 2 2 2 2 2,6 6 6 6 7 7 6 7 7 7 8 7 6 8 7,1158
4,15,1-0 1-2 0-8 2-3 3-4 4-5 5-6 6-7 8-9 9-10 9-14 10-11 11-12 12-13,17737,S,1,8,1 2 2 1 2 2 1 2 1 2 1 3 2 4 1,6 6 7 6 8 7 4 8 7 6 7 7 6 6 7,1418
5,15,1-0 1-2 0-8 2-3 3-4 4-5 5-6 6-7 8-9 8-14 9-10 10-11 11-12 12-13,0,U,2,8,3 3 3 2 3 3 2 3 3 2 3 3 2 3 3,7 6 6 6 6 7 6 6 7 7 8 7 5 8 6,1350
6,15,1-0 1-2 0-8 0-14 2-3 3-4 4-5 5-6 6-7 8-9 9-10 10-11 11-12 12-13,0,U,2,8,3 2 2 2 2 3 2 3 2 2 3 4 2 4 2,6 7 7 6 8 7 4 8 7 6 6 7 6 6 6,1413
7,15,1-0 1-2 0-9 2-3 3-4 4-5 5-6 5-7 5-8 9-10 10-11 11-12 12-13 13-14,0,U,3,8,5 4 4 5 3 4 3 3 3 3 4 5 3 4 8,6 7 6 8 7 6 8 8 8 7 7 8 8 7 8,655
8,15,1-0 1-2 0-9 2-3 3-4 4-5 4-8 5-6 5-7 9-10 10-11 11-12 12-13 13-14,0,U,2,8,3 3 2 2 2 2 2 2 2 2 2 2 2 2 2,6 6 6 7 7 7 7 7 6 6 7 6 8 7 6,1729
9,15,1-0 1-2 0-9 2-3 3-4 3-8 4-5 5-6 5-7 9-10 10-11 11-12 12-13 13-14,0,U,3,8,4 4 4 4 3 4 3 3 4 3 4 3 3 4 3,7 7 7 8 7 7 8 8 7 7 6 8 7 6 8,1052
10,15,1-0 1-2 0-9 2-3 2-8 3-4 4-5 5-6 5-7 9-10 10-11 11-12 12-13 13-14,0,U,2,8,2 3 3 3 2 3 2 2 3 3 2 2 3 2 3,6 7 6 7 7 6 7 7 7 6 7 6 8 7 6,1693
11,15,1-0 1-2 1-8 0-9 2-3 3-4 4-5 5-6 5-7 9-10 10-11 11-12 12-13 13-14,0,U,3,8,3 4 3 3 3 3 3 3 3 3 3 4 3 3 4,7 7 7 8 7 6 8 8 7 7 7 8 7 5 8,1248
12,15,1-0 1-2 0-8 2-3 3-4 4-5 5-6 5-7 8-9 9-10 10-11 11-12 12-13 12-14,0,U,3,8,5 3 4 5 3 4 3 3 3 4 5 3 4 3 3,6 7 6 8 7 6 8 8 7 6 8 7 6 8 8,619
13,15,1-0 1-2 0-8 2-3 3-4 4-5 5-6 5-7 8-9 9-10 10-11 11-12 11-14 12-13,2256,S,1,8,2 2 2 2 1 2 1 1 2 2 2 1 2 2 2,6 6 6 7 7 6 7 7 6 7 7 8 7 6 7,1414
14,15,1-0 1-2 0-8 2-3 3-4 4-5 5-6 5-7 8-9 9-10 10-11 10-14 11-12 12-13,0,U,3,8,3 3 3 3 3 3 3 3 3 3 4 3 4 4 3,7 7 6 8 7 5 8 8 7 7 8 7 7 8 7,1078
15,15,1-0 1-2 0-8 2-3 3-4 4-5 5-6 5-7 8-9 9-10 9-14 10-11 11-12 12-13,0,U,2,8,2 3 3 2 2 3 2 2 3 2 3 2 2 3 3,6 6 6 6 7 6 7 7 7 7 7 8 7 6 7,1651
16,15,1-0 1-2 0-8 2-3 3-4 4-5 5-6 5-7 8-9 8-14 9-10 10-11 11-12 12-13,0,U,2,8,2 2 3 3 2 3 2 2 3 2 4 3 4 5 2,7 7 7 8 7 5 8 8 7 7 8 7 6 8 7,1269
17,15,1-0 1-2 0-8 0-14 2-3 3-4 4-5 5-6 5-7 8-9 9-10 10-11 11-12 12-13,0,U,2,8,3 4 2 4 2 2 2 2 3 2 3 3 2 4 4,6 7 6 6 7 6 7 7 7 7 6 8 7 6 6,1676
18,15,1-0 1-2 0-8 2-3 3-4 4-5 5-6 5-7 8-9 9-10 10-11 11-12 11-13 11-14,0,U,2,9,4 4 3 4 2 3 2 2 3 4 2 3 2 2 2,8 8 7 9 8 6 9 9 7 9 8 6 9 9 9,909
19,15,1-0 1-2 0-8 2-3 3-4 4-5 5-6 5-7 8-9 9-10 10-11 10-14 11-12 11-13,19408,S,1,9,3 2 2 3 1 2 1 1 1 1 2 1 2 2 1,7 8 7 9 8 4 9 9 7 8 7 8 7 7 7,1906
20,15,1-0 1-2 0-8 2-3 3-4 4-5 5-6 5-7 8-9 9-10 9-14 10-11 11-12 11-13,0,U,2,9,4 4 3 4 2 3 2 2 3 3 2 3 2 2 3,8 7 7 8 7 6 8 8 8 9 8 7 9 9 8,1437
21,15,1-0 1-2 0-8 2-3 3-4 4-5 5-6 5-7 8-9 8-14 9-10 10-11 11-12 11-13,0,U,2,9,2 2 3 2 2 3 2 2 3 2 2 3 2 2 2,8 8 7 9 8 5 9 9 7 8 8 7 7 7 8,1852
22,15,1-0 1-2 0-8 0-14 2-3 3-4 4-5 5-6 5-7 8-9 9-10 10-11 11-12 11-13,0,U,2,9,4 3 3 4 2 3 2 2 2 3 2 2 2 2 3,8 8 7 7 7 6 7 7 8 9 8 6 9 9 7,1739
23,15,1-0 1-2 0-8 2-3 3-4 4-5 5-6 5-7 8-9 9-10 10-11 10-13 11-12 13-14,31440,S,1,7,3 3 2 3 1 2 1 1 2 1 2 1 1 1 1,7 6 6 7 6 5 7 7 7 7 7 7 7 7 7,1758
24,15,1-0 1-2 0-8 2-3 3-4 4-5 5-6 5-7 8-9 9-10 10-11 10-13 10-14 11-12,0,U,2,9,2 3 3 2 2 3 2 2 3 3 4 3 3 3 3,7 8 7 9 8 5 9 9 7 8 8 8 6 8 8,1755
25,15,1-0 1-2 0-8 2-3 3-4 4-5 5-6 5-7 8-9 9-10 9-14 10-11 10-13 11-12,32721,S,1,8,1 2 2 2 1 2 1 1 1 1 1 1 1 1 1,7 7 7 7 6 5 7 7 8 8 8 8 7 7 7,2781
26,15,1-0 1-2 0-8 2-3 3-4 4-5 5-6 5-7 8-9 8-14 9-10 10-11 10-13 11-12,0,U,2,9,2 2 2 3 2 2 2 2 3 2 3 3 4 3 2,8 8 7 9 8 4 9 9 7 8 8 7 7 7 7,2266
27,15,1-0 1-2 0-8 0-14 2-3 3-4 4-5 5-6 5-7 8-9 9-10 10-11 10-13 11-12,17366,S,1,8,2 1 1 2 1 2 1 1 1 1 2 2 2 2 1,7 8 7 7 7 6 7 7 8 8 7 8 7 7 7,3117
