id,n,edges,solvable_mask,class,ps,fs,per_hole_min,per_hole_max,states
12407,13,0-1 1-2 2-3 3-4 4-5 5-0 3-6 3-7 7-8 7-9 7-10 5-11 11-12,8191,F,1,8,1 1 1 1 1 1 1 1 1 1 1 1 1,8 7 8 8 8 8 8 8 8 8 8 8 8,4240
12408,13,0-1 1-2 2-3 3-4 4-5 5-0 3-6 3-7 7-8 7-9 9-10 5-11 11-12,8191,F,1,7,1 1 1 1 1 1 1 1 1 1 1 1 1,7 6 7 7 7 7 7 7 7 7 7 6 6,4387
12409,13,0-1 1-2 2-3 3-4 4-5 5-0 3-6 3-7 7-8 8-9 8-10 5-11 11-12,4086,S,1,8,2 1 1 2 1 1 1 1 1 1 1 1 2,7 7 7 8 7 7 7 7 7 8 8 7 7,2892
12410,13,0-1 1-2 2-3 3-4 4-5 5-0 3-6 3-7 7-8 8-9 9-10 5-11 11-12,8191,F,1,7,1 1 1 1 1 1 1 1 1 1 1 1 1,7 6 7 7 7 7 7 7 7 6 7 7 7,3437
12411,13,0-1 1-2 2-3 3-4 4-5 5-0 2-6 5-7 5-8 5-9 5-10 5-11 5-12,0,U,4,9,4 4 5 4 4 5 6 4 4 4 4 4 4,8 8 9 8 8 9 8 8 8 8 8 8 8,1555
12412,13,0-1 1-2 2-3 3-4 4-5 5-0 2-6 5-7 5-8 5-9 5-10 5-11 11-12,4021,S,1,8,1 2 1 2 1 1 2 1 1 1 1 1 2,8 8 7 8 8 7 8 8 8 8 8 8 8,3714
12413,13,0-1 1-2 2-3 3-4 4-5 5-0 2-6 5-7 5-8 5-9 5-10 10-11 10-12,8191,F,1,8,1 1 1 1 1 1 1 1 1 1 1 1 1,8 8 7 8 8 7 8 8 8 8 8 8 8,4870
12414,13,0-1 1-2 2-3 3-4 4-5 5-0 2-6 5-7 5-8 5-9 5-10 10-11 11-12,3995,S,1,8,1 1 2 1 1 2 2 1 1 1 1 1 2,8 8 7 8 8 7 8 8 8 8 8 7 7,3201
12415,13,0-1 1-2 2-3 3-4 4-5 5-0 2-6 5-7 5-8 5-9 9-10 5-11 11-12,8191,F,1,7,1 1 1 1 1 1 1 1 1 1 1 1 1,6 7 7 7 6 7 6 6 6 6 6 6 6,5073
12416,13,0-1 1-2 2-3 3-4 4-5 5-0 2-6 5-7 5-8 5-9 9-10 9-11 9-12,8191,F,1,8,1 1 1 1 1 1 1 1 1 1 1 1 1,8 8 7 8 8 7 8 8 8 8 8 8 8,4573
12417,13,0-1 1-2 2-3 3-4 4-5 5-0 2-6 5-7 5-8 5-9 9-10 9-11 11-12,8191,F,1,7,1 1 1 1 1 1 1 1 1 1 1 1 1,7 7 7 7 7 7 7 7 7 7 7 7 7,4598
12418,13,0-1 1-2 2-3 3-4 4-5 5-0 2-6 5-7 5-8 5-9 9-10 10-11 10-12,6692,S,1,8,2 2 1 2 2 1 3 2 2 1 2 1 1,8 8 7 8 8 7 8 8 8 8 7 7 7,2900
12419,13,0-1 1-2 2-3 3-4 4-5 5-0 2-6 5-7 5-8 5-9 9-10 10-11 11-12,8191,F,1,7,1 1 1 1 1 1 1 1 1 1 1 1 1,7 7 6 7 7 6 7 7 7 7 7 6 7,3593
12420,13,0-1 1-2 2-3 3-4 4-5 5-0 2-6 5-7 5-8 8-9 5-10 10-11 10-12,8191,F,1,7,1 1 1 1 1 1 1 1 1 1 1 1 1,6 7 7 7 6 7 6 6 6 6 6 7 7,4766
12421,13,0-1 1-2 2-3 3-4 4-5 5-0 2-6 5-7 5-8 8-9 5-10 10-11 11-12,8191,F,1,7,1 1 1 1 1 1 1 1 1 1 1 1 1,6 6 7 6 6 7 6 6 6 6 6 6 7,4227
12422,13,0-1 1-2 2-3 3-4 4-5 5-0 2-6 5-7 5-8 8-9 8-10 8-11 8-12,7722,S,1,8,2 1 2 1 2 1 3 2 2 1 1 1 1,8 8 7 8 8 7 8 8 8 8 8 8 8,3363
12423,13,0-1 1-2 2-3 3-4 4-5 5-0 2-6 5-7 5-8 8-9 8-10 8-11 11-12,8191,F,1,7,1 1 1 1 1 1 1 1 1 1 1 1 1,7 7 7 7 7 7 7 7 7 7 7 7 7,4607
12424,13,0-1 1-2 2-3 3-4 4-5 5-0 2-6 5-7 5-8 8-9 8-10 10-11 10-12,8191,F,1,7,1 1 1 1 1 1 1 1 1 1 1 1 1,7 7 7 7 7 7 7 7 7 7 7 7 7,4163
12425,13,0-1 1-2 2-3 3-4 4-5 5-0 2-6 5-7 5-8 8-9 8-10 10-11 11-12,8191,F,1,7,1 1 1 1 1 1 1 1 1 1 1 1 1,7 6 6 6 7 6 6 7 7 7 7 6 7,3729
12426,13,0-1 1-2 2-3 3-4 4-5 5-0 2-6 5-7 5-8 8-9 9-10 8-11 11-12,8191,F,1,7,1 1 1 1 1 1 1 1 1 1 1 1 1,6 6 6 6 6 7 6 6 6 7 7 7 7,4246
12427,13,0-1 1-2 2-3 3-4 4-5 5-0 2-6 5-7 5-8 8-9 9-10 9-11 9-12,8081,S,1,8,1 2 2 2 1 2 3 1 1 1 1 1 1,8 8 7 8 8 7 8 8 8 7 7 7 7,2488
12428,13,0-1 1-2 2-3 3-4 4-5 5-0 2-6 5-7 5-8 8-9 9-10 9-11 11-12,8191,F,1,7,1 1 1 1 1 1 1 1 1 1 1 1 1,7 7 6 7 7 6 7 7 7 7 6 6 6,3738
12429,13,0-1 1-2 2-3 3-4 4-5 5-0 2-6 5-7 5-8 8-9 9-10 10-11 10-12,8187,S,1,7,1 1 2 1 1 1 1 1 1 1 1 1 1,7 7 6 7 7 6 7 7 7 7 6 7 7,3048
12430,13,0-1 1-2 2-3 3-4 4-5 5-0 2-6 5-7 5-8 8-9 9-10 10-11 11-12,2971,S,1,6,1 1 2 1 1 2 2 1 1 1 2 1 2,6 6 6 6 6 6 6 6 6 6 6 5 6,2591
12431,13,0-1 1-2 2-3 3-4 4-5 5-0 2-6 5-7 7-8 5-9 9-10 5-11 11-12,8191,F,1,6,1 1 1 1 1 1 1 1 1 1 1 1 1,6 6 5 6 6 5 6 6 6 6 6 6 6,4844
12432,13,0-1 1-2 2-3 3-4 4-5 5-0 2-6 5-7 7-8 5-9 9-10 9-11 9-12,7210,S,1,7,2 1 2 1 2 1 3 2 2 2 1 1 1,7 7 7 7 7 7 6 7 7 7 7 7 7,3485
12433,13,0-1 1-2 2-3 3-4 4-5 5-0 2-6 5-7 7-8 5-9 9-10 9-11 11-12,8191,F,1,7,1 1 1 1 1 1 1 1 1 1 1 1 1,7 6 6 6 7 6 6 6 7 7 6 6 6,4460
12434,13,0-1 1-2 2-3 3-4 4-5 5-0 2-6 5-7 7-8 5-9 9-10 10-11 10-12,8127,S,1,7,1 1 1 1 1 1 2 1 1 1 1 1 1,7 6 7 6 7 7 6 6 7 7 6 7 7,3599
12435,13,0-1 1-2 2-3 3-4 4-5 5-0 2-6 5-7 7-8 5-9 9-10 10-11 11-12,8191,F,1,6,1 1 1 1 1 1 1 1 1 1 1 1 1,6 6 6 6 6 6 5 5 6 6 6 6 6,3469
12436,13,0-1 1-2 2-3 3-4 4-5 5-0 2-6 5-7 7-8 7-9 5-10 10-11 10-12,6954,S,1,7,2 1 2 1 2 1 3 2 1 1 2 1 1,7 7 7 7 7 7 6 7 7 7 7 7 7,3530
12437,13,0-1 1-2 2-3 3-4 4-5 5-0 2-6 5-7 7-8 7-9 5-10 10-11 11-12,8191,F,1,7,1 1 1 1 1 1 1 1 1 1 1 1 1,7 6 7 6 7 7 6 6 7 7 7 6 7,3988
12438,13,0-1 1-2 2-3 3-4 4-5 5-0 2-6 5-7 7-8 7-9 7-10 7-11 7-12,0,U,3,8,4 3 4 3 4 3 5 4 3 3 3 3 3,8 8 8 8 8 8 8 8 8 8 8 8 8,1845
12439,13,0-1 1-2 2-3 3-4 4-5 5-0 2-6 5-7 7-8 7-9 7-10 7-11 11-12,8127,S,1,8,1 1 1 1 1 1 2 1 1 1 1 1 1,7 7 8 7 7 8 7 7 7 7 7 7 7,3629
12440,13,0-1 1-2 2-3 3-4 4-5 5-0 2-6 5-7 7-8 7-9 7-10 10-11 10-12,8191,F,1,8,1 1 1 1 1 1 1 1 1 1 1 1 1,7 7 8 7 7 8 7 7 7 7 7 7 7,4171
12441,13,0-1 1-2 2-3 3-4 4-5 5-0 2-6 5-7 7-8 7-9 7-10 10-11 11-12,1060,S,1,7,2 2 1 2 2 1 2 2 2 2 1 2 2,7 6 7 6 7 7 6 7 7 7 7 6 7,2929
12442,13,0-1 1-2 2-3 3-4 4-5 5-0 2-6 5-7 7-8 7-9 9-10 7-11 11-12,8191,F,1,7,1 1 1 1 1 1 1 1 1 1 1 1 1,7 7 6 7 7 6 7 6 6 6 6 6 6,4327
12443,13,0-1 1-2 2-3 3-4 4-5 5-0 2-6 5-7 7-8 7-9 9-10 9-11 9-12,8191,F,1,8,1 1 1 1 1 1 1 1 1 1 1 1 1,7 7 8 7 7 8 7 7 7 7 7 7 7,3489
12444,13,0-1 1-2 2-3 3-4 4-5 5-0 2-6 5-7 7-8 7-9 9-10 9-11 11-12,8191,F,1,6,1 1 1 1 1 1 1 1 1 1 1 1 1,6 6 6 6 6 6 6 6 6 6 6 6 6,3805
12445,13,0-1 1-2 2-3 3-4 4-5 5-0 2-6 5-7 7-8 7-9 9-10 10-11 10-12,6666,S,1,7,2 1 2 1 2 2 2 2 2 1 2 1 1,7 6 7 6 7 7 6 7 7 7 6 7 7,2485
12446,13,0-1 1-2 2-3 3-4 4-5 5-0 2-6 5-7 7-8 7-9 9-10 10-11 11-12,4095,S,1,7,1 1 1 1 1 1 1 1 1 1 1 1 2,6 6 7 6 6 7 6 6 6 6 6 5 6,2879
12447,13,0-1 1-2 2-3 3-4 4-5 5-0 2-6 5-7 7-8 8-9 5-10 10-11 11-12,8117,S,1,7,1 2 1 2 1 1 2 1 1 1 1 1 1,6 6 6 6 6 7 6 6 6 7 6 6 7,3361
12448,13,0-1 1-2 2-3 3-4 4-5 5-0 2-6 5-7 7-8 8-9 7-10 10-11 10-12,8191,F,1,7,1 1 1 1 1 1 1 1 1 1 1 1 1,7 7 6 7 7 7 7 6 7 7 7 7 7,3655
12449,13,0-1 1-2 2-3 3-4 4-5 5-0 2-6 5-7 7-8 8-9 7-10 10-11 11-12,8191,F,1,6,1 1 1 1 1 1 1 1 1 1 1 1 1,6 6 6 6 6 6 6 6 6 6 6 5 6,3467
12450,13,0-1 1-2 2-3 3-4 4-5 5-0 2-6 5-7 7-8 8-9 8-10 8-11 8-12,0,U,2,8,3 4 2 4 3 2 4 2 3 2 2 2 2,8 8 8 8 8 8 8 8 7 7 7 7 7,1999
12451,13,0-1 1-2 2-3 3-4 4-5 5-0 2-6 5-7 7-8 8-9 8-10 8-11 11-12,8191,F,1,7,1 1 1 1 1 1 1 1 1 1 1 1 1,7 7 6 7 7 6 7 7 7 6 6 6 6,3419
12452,13,0-1 1-2 2-3 3-4 4-5 5-0 2-6 5-7 7-8 8-9 8-10 10-11 10-12,8191,F,1,7,1 1 1 1 1 1 1 1 1 1 1 1 1,7 7 6 7 7 6 7 7 7 6 6 6 6,3265
