id,n,edges,solvable_mask,class,ps,fs,per_hole_min,per_hole_max,states
0,14,1-0 1-2 0-8 2-3 3-4 4-5 5-6 6-7 8-9 9-10 10-11 11-12 12-13,4680,S,1,7,2 2 3 1 2 3 1 7 3 1 2 3 1 7,5 5 6 5 7 6 5 7 6 5 7 6 5 7,464
1,14,1-0 1-2 0-8 2-3 3-4 4-5 5-6 5-7 8-9 9-10 10-11 11-12 12-13,0,U,2,7,4 3 3 4 2 3 2 2 2 3 4 2 3 7,5 6 5 7 6 5 7 7 6 6 7 7 6 7,472
2,14,1-0 1-2 0-8 2-3 3-4 4-5 5-6 5-7 8-9 9-10 10-11 11-12 11-13,13520,S,1,8,3 3 2 3 1 2 1 1 2 3 1 2 1 1,7 7 6 8 7 5 8 8 6 8 7 5 8 8,623
3,14,1-0 1-2 0-8 2-3 3-4 4-5 4-7 5-6 8-9 9-10 10-11 11-12 12-13,15888,S,1,7,2 2 2 2 1 2 2 2 2 1 1 1 1 1,5 5 6 6 7 6 5 6 5 6 6 7 6 6,913
4,14,1-0 1-2 0-8 2-3 3-4 4-5 4-7 5-6 8-9 9-10 10-11 11-12 11-13,0,U,2,8,2 2 2 2 3 2 4 2 2 2 2 2 2 2,7 6 6 7 7 7 6 6 6 8 7 4 8 8,924
5,14,1-0 1-2 0-8 2-3 3-4 4-5 4-7 5-6 8-9 9-10 10-11 10-13 11-12,16383,F,1,7,1 1 1 1 1 1 1 1 1 1 1 1 1 1,6 6 6 7 6 7 6 6 6 7 6 7 6 6,1704
6,14,1-0 1-2 0-8 2-3 3-4 3-7 4-5 5-6 8-9 9-10 10-11 11-12 12-13,0,U,2,7,3 3 3 3 3 3 3 3 3 3 2 2 3 2,6 6 6 7 6 6 7 6 6 5 7 6 5 7,773
7,14,1-0 1-2 0-8 2-3 3-4 3-7 4-5 5-6 8-9 9-10 10-11 11-12 11-13,0,U,2,8,3 3 2 2 2 2 2 2 3 3 2 3 2 2,6 7 7 8 7 6 8 7 6 7 6 5 7 7,1004
8,14,1-0 1-2 0-8 2-3 3-4 3-7 4-5 5-6 8-9 9-10 10-11 10-13 11-12,150,S,1,8,2 1 1 2 1 2 2 1 2 2 2 2 2 2,6 7 7 8 7 5 8 7 6 6 7 6 5 6,1429
9,14,1-0 1-2 0-8 2-3 3-4 3-7 4-5 5-6 8-9 9-10 9-13 10-11 11-12,0,U,2,7,2 2 2 3 2 3 3 2 2 3 2 3 3 2,6 6 6 7 6 6 7 6 6 7 6 6 7 6,1535
10,14,1-0 1-2 0-8 2-3 2-7 3-4 4-5 5-6 8-9 9-10 10-11 11-12 12-13,0,U,2,7,2 2 2 2 2 2 3 2 2 2 2 2 2 2,5 6 6 6 7 6 5 6 5 6 5 7 6 5,1048
11,14,1-0 1-2 0-8 2-3 2-7 3-4 4-5 5-6 8-9 9-10 10-11 11-12 11-13,13451,S,1,8,1 1 2 1 4 2 5 1 2 2 1 2 1 1,7 7 6 7 7 6 6 7 6 8 7 4 8 8,1085
